Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:39:51,,
Header Version:,1,,
System Temp (C):,33.2,,
Detector Temp (C):,28.77,,
Humidity (%):,29.83,,
Lamp PD:,3752,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.675,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.927714,72949.000000,8616.000000
905.910380,0.925437,86574.000000,10279.000000
909.838291,0.927559,94937.000000,11217.000000
913.761880,0.935433,104155.000000,12085.000000
917.681147,0.944917,115457.000000,13107.000000
921.596093,0.952880,129508.000000,14435.000000
925.506717,0.960798,146775.000000,16064.000000
929.413019,0.970173,166260.000000,17808.000000
933.315000,0.977912,185226.000000,19489.000000
937.212659,0.981973,202728.000000,21132.000000
941.105996,0.991010,218970.000000,22355.000000
944.995012,1.001362,234123.000000,23339.000000
948.879706,1.011483,248597.000000,24211.000000
954.052576,1.033764,267996.000000,24795.000000
957.927186,1.051567,282408.000000,25079.000000
961.797475,1.064456,296402.000000,25552.000000
965.663442,1.075899,310342.000000,26058.000000
969.525087,1.083351,323067.000000,26665.000000
973.382411,1.090037,335535.000000,27271.000000
977.235413,1.095866,347127.000000,27837.000000
981.084093,1.102107,357110.000000,28229.000000
984.928452,1.105407,365762.000000,28694.000000
988.768490,1.108850,373247.000000,29050.000000
992.604205,1.110052,378804.000000,29401.000000
996.435599,1.111069,382649.000000,29630.000000
1000.262671,1.112187,385370.000000,29764.000000
1005.358712,1.112881,387154.000000,29854.000000
1009.175700,1.111131,387134.000000,29973.000000
1012.988367,1.110445,386471.000000,29969.000000
1016.796712,1.105830,385219.000000,30191.000000
1020.600736,1.105031,383747.000000,30131.000000
1024.400438,1.100856,382119.000000,30293.000000
1028.195818,1.098809,379870.000000,30257.000000
1031.986877,1.095895,377704.000000,30287.000000
1035.773614,1.096244,374438.000000,30001.000000
1039.556029,1.094758,370584.000000,29794.000000
1043.334123,1.095538,367475.000000,29491.000000
1047.107895,1.092631,364330.000000,29435.000000
1052.132869,1.091974,359009.000000,29049.000000
1055.896557,1.090260,356290.000000,28943.000000
1059.655924,1.089824,354149.000000,28798.000000
1063.410969,1.090030,351795.000000,28593.000000
1067.161692,1.089136,349463.000000,28462.000000
1070.908094,1.089466,347652.000000,28293.000000
1074.650174,1.088808,346034.000000,28204.000000
1078.387933,1.090769,344815.000000,27978.000000
1082.121369,1.088696,343958.000000,28042.000000
1085.850485,1.087321,343127.000000,28063.000000
1089.575278,1.089216,343191.000000,27946.000000
1093.295750,1.090538,344015.000000,27928.000000
1097.011900,1.092076,344296.000000,27852.000000
1101.960045,1.089440,345137.000000,28090.000000
1105.666111,1.092514,346153.000000,27974.000000
1109.367856,1.093570,346661.000000,27947.000000
1113.065279,1.094719,347841.000000,27968.000000
1116.758381,1.095719,348929.000000,27991.000000
1120.447161,1.101621,350595.000000,27745.000000
1124.131619,1.111816,352040.000000,27213.000000
1127.811756,1.124867,353928.000000,26549.000000
1131.487571,1.142626,355980.000000,25633.000000
1135.159064,1.162869,357920.000000,24599.000000
1138.826236,1.183176,360493.000000,23644.000000
1142.489086,1.200591,363800.000000,22923.000000
1147.366164,1.219921,368112.000000,22185.000000
1151.018930,1.232539,371448.000000,21745.000000
1154.667374,1.244334,375777.000000,21409.000000
1158.311497,1.253247,380111.000000,21216.000000
1161.951299,1.257700,384988.000000,21269.000000
1165.586779,1.261151,389793.000000,21364.000000
1169.217937,1.265190,395608.000000,21482.000000
1172.844773,1.266263,401940.000000,21772.000000
1176.467288,1.266500,408458.000000,22113.000000
1180.085481,1.264386,415500.000000,22604.000000
1183.699353,1.259388,423175.000000,23288.000000
1187.308903,1.261053,431167.000000,23637.000000
1190.914131,1.256632,439458.000000,24338.000000
1195.714379,1.254571,450819.000000,25086.000000
1199.309524,1.253270,460669.000000,25711.000000
1202.900347,1.254332,471029.000000,26225.000000
1206.486848,1.254534,480916.000000,26763.000000
1210.069027,1.255235,491861.000000,27328.000000
1213.646885,1.254993,503550.000000,27993.000000
1217.220421,1.251416,515976.000000,28921.000000
1220.789636,1.247194,526727.000000,29812.000000
1224.354529,1.243750,537290.000000,30652.000000
1227.915100,1.237777,549160.000000,31763.000000
1231.471350,1.230131,561812.000000,33072.000000
1235.023278,1.228215,574865.000000,33990.000000
1239.752460,1.225154,589855.000000,35123.000000
1243.294304,1.221130,602768.000000,36226.000000
1246.831827,1.219525,616327.000000,37178.000000
1250.365028,1.218749,628780.000000,37997.000000
1253.893907,1.216821,640245.000000,38862.000000
1257.418465,1.217551,652792.000000,39557.000000
1260.938701,1.218004,665945.000000,40312.000000
1264.454615,1.218555,678287.000000,41007.000000
1267.966208,1.219699,690806.000000,41654.000000
1271.473479,1.221924,704539.000000,42265.000000
1274.976429,1.222677,718686.000000,43039.000000
