Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 22:3:50,,
Header Version:,1,,
System Temp (C):,35.81,,
Detector Temp (C):,31.93,,
Humidity (%):,22.63,,
Lamp PD:,3749,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.672,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.922154,72949.000000,8727.000000
905.910380,0.930451,86574.000000,10161.000000
909.838291,0.932857,94937.000000,11081.000000
913.761880,0.939223,104155.000000,11980.000000
917.681147,0.947809,115457.000000,13020.000000
921.596093,0.951828,129508.000000,14470.000000
925.506717,0.959260,146775.000000,16121.000000
929.413019,0.970441,166260.000000,17797.000000
933.315000,0.974251,185226.000000,19654.000000
937.212659,0.976845,202728.000000,21383.000000
941.105996,0.979016,218970.000000,22981.000000
944.995012,0.982517,234123.000000,24374.000000
948.879706,0.990457,248597.000000,25412.000000
954.052576,1.006969,267996.000000,26373.000000
957.927186,1.017187,282408.000000,27145.000000
961.797475,1.028165,296402.000000,27779.000000
965.663442,1.037804,310342.000000,28447.000000
969.525087,1.044059,323067.000000,29190.000000
973.382411,1.052704,335535.000000,29719.000000
977.235413,1.058630,347127.000000,30329.000000
981.084093,1.063998,357110.000000,30818.000000
984.928452,1.069002,365762.000000,31203.000000
988.768490,1.073148,373247.000000,31539.000000
992.604205,1.077300,378804.000000,31704.000000
996.435599,1.080128,382649.000000,31818.000000
1000.262671,1.084572,385370.000000,31718.000000
1005.358712,1.087702,387154.000000,31636.000000
1009.175700,1.090089,387134.000000,31461.000000
1012.988367,1.088214,386471.000000,31543.000000
1016.796712,1.086722,385219.000000,31549.000000
1020.600736,1.086314,383747.000000,31458.000000
1024.400438,1.084399,382119.000000,31463.000000
1028.195818,1.083855,379870.000000,31317.000000
1031.986877,1.082441,377704.000000,31240.000000
1035.773614,1.083646,374438.000000,30884.000000
1039.556029,1.084715,370584.000000,30491.000000
1043.334123,1.085825,367475.000000,30158.000000
1047.107895,1.086551,364330.000000,29850.000000
1052.132869,1.086965,359009.000000,29386.000000
1055.896557,1.084284,356290.000000,29344.000000
1059.655924,1.085383,354149.000000,29094.000000
1063.410969,1.085001,351795.000000,28926.000000
1067.161692,1.083557,349463.000000,28830.000000
1070.908094,1.083263,347652.000000,28700.000000
1074.650174,1.084609,346034.000000,28478.000000
1078.387933,1.083199,344815.000000,28470.000000
1082.121369,1.081569,343958.000000,28506.000000
1085.850485,1.082672,343127.000000,28365.000000
1089.575278,1.080310,343191.000000,28525.000000
1093.295750,1.078953,344015.000000,28683.000000
1097.011900,1.078778,344296.000000,28718.000000
1101.960045,1.079868,345137.000000,28716.000000
1105.666111,1.079363,346153.000000,28834.000000
1109.367856,1.078752,346661.000000,28917.000000
1113.065279,1.079118,347841.000000,28991.000000
1116.758381,1.082005,348929.000000,28889.000000
1120.447161,1.085232,350595.000000,28812.000000
1124.131619,1.095266,352040.000000,28270.000000
1127.811756,1.105683,353928.000000,27748.000000
1131.487571,1.125663,355980.000000,26654.000000
1135.159064,1.141847,357920.000000,25819.000000
1138.826236,1.164781,360493.000000,24667.000000
1142.489086,1.179423,363800.000000,24068.000000
1147.366164,1.195152,368112.000000,23487.000000
1151.018930,1.207774,371448.000000,23021.000000
1154.667374,1.219057,375777.000000,22692.000000
1158.311497,1.229023,380111.000000,22433.000000
1161.951299,1.238312,384988.000000,22240.000000
1165.586779,1.244012,389793.000000,22224.000000
1169.217937,1.251108,395608.000000,22190.000000
1172.844773,1.254476,401940.000000,22371.000000
1176.467288,1.257905,408458.000000,22555.000000
1180.085481,1.260560,415500.000000,22804.000000
1183.699353,1.258047,423175.000000,23360.000000
1187.308903,1.258562,431167.000000,23773.000000
1190.914131,1.251471,439458.000000,24629.000000
1195.714379,1.248007,450819.000000,25468.000000
1199.309524,1.246482,460669.000000,26116.000000
1202.900347,1.245821,471029.000000,26744.000000
1206.486848,1.245255,480916.000000,27341.000000
1210.069027,1.244731,491861.000000,27997.000000
1213.646885,1.242710,503550.000000,28796.000000
1217.220421,1.239026,515976.000000,29758.000000
1220.789636,1.231430,526727.000000,30914.000000
1224.354529,1.223244,537290.000000,32134.000000
1227.915100,1.215095,549160.000000,33466.000000
1231.471350,1.207475,561812.000000,34843.000000
1235.023278,1.199611,574865.000000,36304.000000
1239.752460,1.193955,589855.000000,37739.000000
1243.294304,1.191106,602768.000000,38819.000000
1246.831827,1.185456,616327.000000,40212.000000
1250.365028,1.184752,628780.000000,41091.000000
1253.893907,1.181003,640245.000000,42203.000000
1257.418465,1.181539,652792.000000,42977.000000
1260.938701,1.180420,665945.000000,43956.000000
1264.454615,1.180232,678287.000000,44790.000000
1267.966208,1.180020,690806.000000,45639.000000
1271.473479,1.181350,704539.000000,46404.000000
1274.976429,1.180221,718686.000000,47459.000000
1278.475056,1.181147,732831.000000,48290.000000
1281.969363,1.182765,745575.000000,48947.000000
