Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:30:40,,
Header Version:,1,,
System Temp (C):,28.78,,
Detector Temp (C):,24.44,,
Humidity (%):,34.88,,
Lamp PD:,3759,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.676,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.870864,72949.000000,9821.000000
905.910380,0.881322,86574.000000,11378.000000
909.838291,0.879623,94937.000000,12526.000000
913.761880,0.889410,104155.000000,13436.000000
917.681147,0.896820,115457.000000,14642.000000
921.596093,0.901898,129508.000000,16233.000000
925.506717,0.904462,146775.000000,18289.000000
929.413019,0.913078,166260.000000,20310.000000
933.315000,0.919027,185226.000000,22319.000000
937.212659,0.922077,202728.000000,24257.000000
941.105996,0.928243,218970.000000,25831.000000
944.995012,0.937068,234123.000000,27063.000000
948.879706,0.941887,248597.000000,28419.000000
954.052576,0.958999,267996.000000,29453.000000
957.927186,0.972874,282408.000000,30061.000000
961.797475,0.982739,296402.000000,30842.000000
965.663442,0.993020,310342.000000,31537.000000
969.525087,1.002733,323067.000000,32104.000000
973.382411,1.009467,335535.000000,32830.000000
977.235413,1.018827,347127.000000,33240.000000
981.084093,1.023256,357110.000000,33849.000000
984.928452,1.029732,365762.000000,34156.000000
988.768490,1.035463,373247.000000,34398.000000
992.604205,1.038523,378804.000000,34665.000000
996.435599,1.045271,382649.000000,34477.000000
1000.262671,1.049029,385370.000000,34423.000000
1005.358712,1.054582,387154.000000,34143.000000
1009.175700,1.056779,387134.000000,33969.000000
1012.988367,1.057930,386471.000000,33821.000000
1016.796712,1.057653,385219.000000,33733.000000
1020.600736,1.058016,383747.000000,33576.000000
1024.400438,1.057634,382119.000000,33463.000000
1028.195818,1.057034,379870.000000,33312.000000
1031.986877,1.058059,377704.000000,33044.000000
1035.773614,1.057877,374438.000000,32772.000000
1039.556029,1.059321,370584.000000,32327.000000
1043.334123,1.061097,367475.000000,31925.000000
1047.107895,1.061451,364330.000000,31626.000000
1052.132869,1.059839,359009.000000,31280.000000
1055.896557,1.058220,356290.000000,31159.000000
1059.655924,1.058525,354149.000000,30950.000000
1063.410969,1.058247,351795.000000,30764.000000
1067.161692,1.055104,349463.000000,30782.000000
1070.908094,1.051946,347652.000000,30846.000000
1074.650174,1.051782,346034.000000,30714.000000
1078.387933,1.050434,344815.000000,30701.000000
1082.121369,1.047814,343958.000000,30810.000000
1085.850485,1.045187,343127.000000,30922.000000
1089.575278,1.043796,343191.000000,31027.000000
1093.295750,1.039966,344015.000000,31377.000000
1097.011900,1.035599,344296.000000,31720.000000
1101.960045,1.033181,345137.000000,31975.000000
1105.666111,1.033264,346153.000000,32063.000000
1109.367856,1.032036,346661.000000,32201.000000
1113.065279,1.027657,347841.000000,32638.000000
1116.758381,1.028615,348929.000000,32668.000000
1120.447161,1.030603,350595.000000,32674.000000
1124.131619,1.038938,352040.000000,32185.000000
1127.811756,1.049448,353928.000000,31584.000000
1131.487571,1.064811,355980.000000,30663.000000
1135.159064,1.081615,357920.000000,29660.000000
1138.826236,1.100106,360493.000000,28628.000000
1142.489086,1.111909,363800.000000,28116.000000
1147.366164,1.125764,368112.000000,27556.000000
1151.018930,1.136608,371448.000000,27120.000000
1154.667374,1.148793,375777.000000,26677.000000
1158.311497,1.158060,380111.000000,26415.000000
1161.951299,1.166368,384988.000000,26247.000000
1165.586779,1.172533,389793.000000,26200.000000
1169.217937,1.181191,395608.000000,26066.000000
1172.844773,1.183743,401940.000000,26328.000000
1176.467288,1.190383,408458.000000,26349.000000
1180.085481,1.191182,415500.000000,26754.000000
1183.699353,1.193006,423175.000000,27134.000000
1187.308903,1.190429,431167.000000,27811.000000
1190.914131,1.185778,439458.000000,28651.000000
1195.714379,1.180837,450819.000000,29728.000000
1199.309524,1.182075,460669.000000,30291.000000
1202.900347,1.182050,471029.000000,30974.000000
1206.486848,1.180668,480916.000000,31725.000000
1210.069027,1.181405,491861.000000,32392.000000
1213.646885,1.180486,503550.000000,33232.000000
1217.220421,1.177411,515976.000000,34294.000000
1220.789636,1.171137,526727.000000,35518.000000
1224.354529,1.165555,537290.000000,36699.000000
1227.915100,1.158535,549160.000000,38121.000000
1231.471350,1.152763,561812.000000,39521.000000
1235.023278,1.145608,574865.000000,41111.000000
1239.752460,1.141162,589855.000000,42617.000000
1243.294304,1.137043,602768.000000,43965.000000
1246.831827,1.134788,616327.000000,45188.000000
1250.365028,1.133002,628780.000000,46291.000000
1253.893907,1.132625,640245.000000,47176.000000
1257.418465,1.131710,652792.000000,48202.000000
1260.938701,1.132729,665945.000000,49058.000000
1264.454615,1.131584,678287.000000,50099.000000
1267.966208,1.132186,690806.000000,50953.000000
1271.473479,1.131843,704539.000000,52007.000000
1274.976429,1.132567,718686.000000,52963.000000
1278.475056,1.132425,732831.000000,54023.000000
1281.969363,1.133529,745575.000000,54823.000000
1286.621715,1.138475,764267.000000,55561.000000
1290.105938,1.140520,774383.000000,56032.000000
1293.585838,1.143874,783466.000000,56253.000000
1297.061417,1.146008,792419.000000,56617.000000
1300.532675,1.151006,802228.000000,56662.000000
1303.999611,1.157156,810668.000000,56453.000000
1307.462225,1.162567,816703.000000,56169.000000
1310.920518,1.170249,823212.000000,55624.000000
1314.374489,1.177514,830491.000000,55185.000000
1317.824138,1.186330,836234.000000,54450.000000
1321.269466,1.196182,840134.000000,53477.000000
1324.710472,1.206634,843025.000000,52385.000000
1328.147156,1.215742,846348.000000,51500.000000
1332.722679,1.232157,850466.000000,49831.000000
1336.149280,1.243708,851778.000000,48598.000000
1339.571559,1.254063,852802.000000,47510.000000
1342.989516,1.264602,853887.000000,46430.000000
1346.403152,1.274333,855068.000000,45464.000000
1349.812466,1.280345,853771.000000,44771.000000
1353.217459,1.288166,852103.000000,43886.000000
1356.618129,1.292451,851003.000000,43399.000000
1360.014478,1.297353,849616.000000,42842.000000
1363.406506,1.300551,847186.000000,42406.000000
1366.794212,1.304601,845120.000000,41910.000000
1370.177596,1.308380,844187.000000,41501.000000
1374.682052,1.312567,841418.000000,40968.000000
1378.055353,1.314837,837589.000000,40569.000000
1381.424332,1.318205,835101.000000,40136.000000
1384.788989,1.319780,832957.000000,39888.000000
1388.149324,1.321366,830471.000000,39624.000000
1391.505338,1.322962,826502.000000,39290.000000
1394.857030,1.321726,822727.000000,39222.000000
1398.204401,1.322210,819381.000000,39019.000000
1401.547450,1.323582,815212.000000,38698.000000
1404.886177,1.322301,810816.000000,38603.000000
1408.220583,1.323463,807007.000000,38319.000000
1411.550667,1.325377,803845.000000,38001.000000
1414.876429,1.323571,800571.000000,38004.000000
1419.304056,1.323088,795411.000000,37801.000000
1422.619735,1.323497,791863.000000,37597.000000
1425.931092,1.324478,789812.000000,37415.000000
1429.238127,1.324867,787498.000000,37272.000000
1432.540841,1.324116,784703.000000,37204.000000
1435.839233,1.323156,781539.000000,37136.000000
1439.133303,1.324510,779314.000000,36915.000000
1442.423052,1.324993,776294.000000,36731.000000
1445.708479,1.325310,773371.000000,36566.000000
1448.989585,1.325110,769695.000000,36409.000000
1452.266369,1.326584,767073.000000,36162.000000
1455.538831,1.326900,762960.000000,35942.000000
1459.895391,1.326636,757300.000000,35697.000000
1463.157769,1.326246,753568.000000,35553.000000
1466.415826,1.327114,749404.000000,35286.000000
1469.669561,1.327560,743755.000000,34984.000000
1472.918975,1.327459,738352.000000,34738.000000
1476.164067,1.328299,733201.000000,34429.000000
1479.404837,1.329086,727341.000000,34092.000000
1482.641285,1.329973,722073.000000,33776.000000
1485.873412,1.329412,716423.000000,33555.000000
1489.101218,1.329052,710602.000000,33310.000000
1492.324701,1.330718,704918.000000,32917.000000
1495.543863,1.331857,699704.000000,32588.000000
1498.758704,1.330630,694048.000000,32416.000000
1503.038435,1.332609,685926.000000,31891.000000
1506.243191,1.334914,680148.000000,31455.000000
1509.443626,1.335426,674608.000000,31162.000000
1512.639740,1.337285,668544.000000,30750.000000
1515.831531,1.335625,662594.000000,30593.000000
1519.019001,1.335767,656483.000000,30301.000000
1522.202150,1.335460,650629.000000,30052.000000
1525.380976,1.338665,645306.000000,29587.000000
1528.555481,1.339162,639735.000000,29298.000000
1531.725665,1.341792,634020.000000,28861.000000
1534.891527,1.340129,627659.000000,28681.000000
1538.053067,1.342806,622269.000000,28260.000000
1542.261731,1.341703,615200.000000,28010.000000
