Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:36:36,,
Header Version:,1,,
System Temp (C):,32.08,,
Detector Temp (C):,27.41,,
Humidity (%):,30.12,,
Lamp PD:,3754,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.684,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.861978,72949.000000,10024.000000
905.910380,1.099168,86574.000000,6890.000000
909.838291,1.152984,94937.000000,6675.000000
913.761880,1.235351,104155.000000,6058.000000
917.681147,1.049878,115457.000000,10293.000000
921.596093,1.015213,129508.000000,12505.000000
925.506717,1.071553,146775.000000,12448.000000
929.413019,1.085210,166260.000000,13664.000000
933.315000,1.160594,185226.000000,12797.000000
937.212659,1.086178,202728.000000,16624.000000
941.105996,1.096578,218970.000000,17531.000000
944.995012,1.142638,234123.000000,16858.000000
948.879706,1.197444,248597.000000,15778.000000
954.052576,1.112851,267996.000000,20667.000000
957.927186,1.037829,282408.000000,25885.000000
961.797475,1.150241,296402.000000,20972.000000
965.663442,1.132422,310342.000000,22878.000000
969.525087,1.115735,323067.000000,24749.000000
973.382411,1.043050,335535.000000,30387.000000
977.235413,1.158201,347127.000000,24115.000000
981.084093,1.231390,357110.000000,20961.000000
984.928452,1.061852,365762.000000,31721.000000
988.768490,1.171130,373247.000000,25169.000000
992.604205,1.228070,378804.000000,22405.000000
996.435599,1.222188,382649.000000,22941.000000
1000.262671,1.167162,385370.000000,26225.000000
1005.358712,1.153698,387154.000000,27176.000000
1009.175700,1.283522,387134.000000,20153.000000
1012.988367,1.171142,386471.000000,26060.000000
1016.796712,1.145823,385219.000000,27535.000000
1020.600736,1.145724,383747.000000,27436.000000
1024.400438,1.173687,382119.000000,25616.000000
1028.195818,1.220084,379870.000000,22885.000000
1031.986877,1.103008,377704.000000,29795.000000
1035.773614,1.179366,374438.000000,24775.000000
1039.556029,1.231128,370584.000000,21765.000000
1043.334123,1.256770,367475.000000,20345.000000
1047.107895,1.173714,364330.000000,24422.000000
1052.132869,1.167787,359009.000000,24396.000000
1055.896557,1.130200,356290.000000,26400.000000
1059.655924,1.184429,354149.000000,23161.000000
1063.410969,1.169840,351795.000000,23793.000000
1067.161692,1.123264,349463.000000,26311.000000
1070.908094,1.188692,347652.000000,22514.000000
1074.650174,1.256451,346034.000000,19172.000000
