Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:53:25,,
Header Version:,1,,
System Temp (C):,35.2,,
Detector Temp (C):,31.04,,
Humidity (%):,24.87,,
Lamp PD:,3750,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.675,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.905843,72949.000000,9061.000000
905.910380,0.913025,86574.000000,10577.000000
909.838291,0.914102,94937.000000,11570.000000
913.761880,0.922336,104155.000000,12455.000000
917.681147,0.935413,115457.000000,13397.000000
921.596093,0.942358,129508.000000,14789.000000
925.506717,0.957647,146775.000000,16181.000000
929.413019,0.968736,166260.000000,17867.000000
933.315000,0.977222,185226.000000,19520.000000
937.212659,0.983538,202728.000000,21056.000000
941.105996,0.992255,218970.000000,22291.000000
944.995012,1.002349,234123.000000,23286.000000
948.879706,1.018955,248597.000000,23798.000000
954.052576,1.045391,267996.000000,24140.000000
957.927186,1.063238,282408.000000,24414.000000
961.797475,1.078218,296402.000000,24755.000000
965.663442,1.086682,310342.000000,25419.000000
969.525087,1.096328,323067.000000,25880.000000
973.382411,1.100922,335535.000000,26596.000000
977.235413,1.105856,347127.000000,27204.000000
981.084093,1.108632,357110.000000,27808.000000
984.928452,1.111474,365762.000000,28296.000000
988.768490,1.113268,373247.000000,28756.000000
992.604205,1.112853,378804.000000,29212.000000
996.435599,1.111304,382649.000000,29614.000000
1000.262671,1.111662,385370.000000,29800.000000
1005.358712,1.109317,387154.000000,30100.000000
1009.175700,1.106548,387134.000000,30291.000000
1012.988367,1.103358,386471.000000,30462.000000
1016.796712,1.098555,385219.000000,30701.000000
1020.600736,1.097034,383747.000000,30691.000000
1024.400438,1.092817,382119.000000,30859.000000
1028.195818,1.089677,379870.000000,30900.000000
1031.986877,1.085748,377704.000000,31003.000000
1035.773614,1.085196,374438.000000,30774.000000
