Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:53:45,,
Header Version:,1,,
System Temp (C):,35.37,,
Detector Temp (C):,31.06,,
Humidity (%):,24.77,,
Lamp PD:,3750,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.688,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.910663,72949.000000,8961.000000
905.910380,0.915578,86574.000000,10515.000000
909.838291,0.914177,94937.000000,11568.000000
913.761880,0.923489,104155.000000,12422.000000
917.681147,0.931572,115457.000000,13516.000000
921.596093,0.942681,129508.000000,14778.000000
925.506717,0.958910,146775.000000,16134.000000
929.413019,0.968202,166260.000000,17889.000000
933.315000,0.975801,185226.000000,19584.000000
937.212659,0.981973,202728.000000,21132.000000
941.105996,0.992002,218970.000000,22304.000000
944.995012,1.002778,234123.000000,23263.000000
948.879706,1.017716,248597.000000,23866.000000
954.052576,1.044690,267996.000000,24179.000000
957.927186,1.064128,282408.000000,24364.000000
961.797475,1.077938,296402.000000,24771.000000
965.663442,1.089304,310342.000000,25266.000000
969.525087,1.096530,323067.000000,25868.000000
973.382411,1.103427,335535.000000,26443.000000
977.235413,1.107455,347127.000000,27104.000000
981.084093,1.109414,357110.000000,27758.000000
984.928452,1.111550,365762.000000,28291.000000
988.768490,1.110903,373247.000000,28913.000000
992.604205,1.111621,378804.000000,29295.000000
996.435599,1.111568,382649.000000,29596.000000
1000.262671,1.111676,385370.000000,29799.000000
1005.358712,1.108697,387154.000000,30143.000000
1009.175700,1.107179,387134.000000,30247.000000
1012.988367,1.103815,386471.000000,30430.000000
1016.796712,1.099887,385219.000000,30607.000000
1020.600736,1.095649,383747.000000,30789.000000
1024.400438,1.093436,382119.000000,30815.000000
1028.195818,1.090831,379870.000000,30818.000000
1031.986877,1.087291,377704.000000,30893.000000
1035.773614,1.086454,374438.000000,30685.000000
1039.556029,1.084316,370584.000000,30519.000000
1043.334123,1.081512,367475.000000,30459.000000
1047.107895,1.082496,364330.000000,30130.000000
1052.132869,1.079579,359009.000000,29890.000000
1055.896557,1.078667,356290.000000,29726.000000
1059.655924,1.077484,354149.000000,29628.000000
1063.410969,1.077706,351795.000000,29416.000000
1067.161692,1.077201,349463.000000,29255.000000
1070.908094,1.078133,347652.000000,29041.000000
1074.650174,1.079953,346034.000000,28785.000000
1078.387933,1.080477,344815.000000,28649.000000
1082.121369,1.082209,343958.000000,28464.000000
1085.850485,1.082565,343127.000000,28372.000000
1089.575278,1.083213,343191.000000,28335.000000
1093.295750,1.086220,344015.000000,28207.000000
1097.011900,1.087685,344296.000000,28135.000000
1101.960045,1.088667,345137.000000,28140.000000
1105.666111,1.091862,346153.000000,28016.000000
1109.367856,1.092809,346661.000000,27996.000000
1113.065279,1.096150,347841.000000,27876.000000
1116.758381,1.098068,348929.000000,27840.000000
1120.447161,1.105142,350595.000000,27521.000000
1124.131619,1.114650,352040.000000,27036.000000
1127.811756,1.127673,353928.000000,26378.000000
1131.487571,1.144681,355980.000000,25512.000000
1135.159064,1.164035,357920.000000,24533.000000
1138.826236,1.185293,360493.000000,23529.000000
1142.489086,1.205200,363800.000000,22681.000000
1147.366164,1.226966,368112.000000,21828.000000
1151.018930,1.239708,371448.000000,21389.000000
1154.667374,1.251183,375777.000000,21074.000000
1158.311497,1.259390,380111.000000,20918.000000
1161.951299,1.260465,384988.000000,21134.000000
1165.586779,1.259285,389793.000000,21456.000000
1169.217937,1.261026,395608.000000,21689.000000
1172.844773,1.258513,401940.000000,22164.000000
1176.467288,1.255217,408458.000000,22695.000000
1180.085481,1.251178,415500.000000,23302.000000
1183.699353,1.248777,423175.000000,23864.000000
1187.308903,1.245462,431167.000000,24501.000000
1190.914131,1.243434,439458.000000,25089.000000
1195.714379,1.243225,450819.000000,25750.000000
1199.309524,1.244177,460669.000000,26255.000000
1202.900347,1.244735,471029.000000,26811.000000
1206.486848,1.245334,480916.000000,27336.000000
1210.069027,1.248423,491861.000000,27760.000000
1213.646885,1.245722,503550.000000,28597.000000
1217.220421,1.247202,515976.000000,29203.000000
1220.789636,1.240860,526727.000000,30250.000000
1224.354529,1.237071,537290.000000,31127.000000
1227.915100,1.233586,549160.000000,32071.000000
1231.471350,1.229645,561812.000000,33109.000000
1235.023278,1.227998,574865.000000,34007.000000
1239.752460,1.225129,589855.000000,35125.000000
1243.294304,1.222078,602768.000000,36147.000000
1246.831827,1.221516,616327.000000,37008.000000
1250.365028,1.219837,628780.000000,37902.000000
1253.893907,1.219759,640245.000000,38600.000000
1257.418465,1.220172,652792.000000,39319.000000
1260.938701,1.221585,665945.000000,39981.000000
1264.454615,1.222118,678287.000000,40672.000000
1267.966208,1.225440,690806.000000,41107.000000
1271.473479,1.226230,704539.000000,41848.000000
1274.976429,1.229932,718686.000000,42326.000000
1278.475056,1.232162,732831.000000,42938.000000
1281.969363,1.236304,745575.000000,43270.000000
1286.621715,1.242565,764267.000000,43720.000000
1290.105938,1.247918,774383.000000,43756.000000
1293.585838,1.254454,783466.000000,43608.000000
1297.061417,1.260625,792419.000000,43484.000000
1300.532675,1.266398,802228.000000,43441.000000
1303.999611,1.274154,810668.000000,43121.000000
1307.462225,1.281636,816703.000000,42700.000000
1310.920518,1.289747,823212.000000,42244.000000
1314.374489,1.297162,830491.000000,41896.000000
1317.824138,1.305852,836234.000000,41350.000000
1321.269466,1.315053,840134.000000,40672.000000
1324.710472,1.323151,843025.000000,40058.000000
1328.147156,1.330018,846348.000000,39585.000000
1332.722679,1.339417,850466.000000,38926.000000
1336.149280,1.345713,851778.000000,38425.000000
1339.571559,1.352152,852802.000000,37905.000000
1342.989516,1.354253,853887.000000,37770.000000
1346.403152,1.359431,855068.000000,37374.000000
1349.812466,1.360238,853771.000000,37248.000000
1353.217459,1.365258,852103.000000,36748.000000
1356.618129,1.366035,851003.000000,36635.000000
1360.014478,1.368264,849616.000000,36388.000000
1363.406506,1.370135,847186.000000,36128.000000
1366.794212,1.371244,845120.000000,35948.000000
1370.177596,1.373539,844187.000000,35719.000000
1374.682052,1.374429,841418.000000,35529.000000
1378.055353,1.374531,837589.000000,35359.000000
1381.424332,1.377051,835101.000000,35050.000000
1384.788989,1.375452,832957.000000,35089.000000
1388.149324,1.378207,830471.000000,34763.000000
1391.505338,1.376714,826502.000000,34716.000000
1394.857030,1.375828,822727.000000,34628.000000
1398.204401,1.377471,819381.000000,34357.000000
1401.547450,1.374876,815212.000000,34387.000000
1404.886177,1.375570,810816.000000,34147.000000
1408.220583,1.375897,807007.000000,33961.000000
1411.550667,1.376783,803845.000000,33759.000000
1414.876429,1.376802,800571.000000,33620.000000
1419.304056,1.375417,795411.000000,33510.000000
1422.619735,1.376676,791863.000000,33264.000000
1425.931092,1.376307,789812.000000,33206.000000
1429.238127,1.375046,787498.000000,33205.000000
1432.540841,1.375757,784703.000000,33033.000000
1435.839233,1.376389,781539.000000,32852.000000
1439.133303,1.375627,779314.000000,32816.000000
1442.423052,1.375691,776294.000000,32684.000000
1445.708479,1.374412,773371.000000,32657.000000
1448.989585,1.374997,769695.000000,32458.000000
1452.266369,1.373114,767073.000000,32488.000000
1455.538831,1.375415,762960.000000,32143.000000
1459.895391,1.374593,757300.000000,31965.000000
1463.157769,1.374586,753568.000000,31808.000000
1466.415826,1.375758,749404.000000,31547.000000
1469.669561,1.373920,743755.000000,31442.000000
1472.918975,1.375685,738352.000000,31087.000000
1476.164067,1.374661,733201.000000,30943.000000
1479.404837,1.375506,727341.000000,30636.000000
1482.641285,1.375322,722073.000000,30427.000000
1485.873412,1.375709,716423.000000,30162.000000
1489.101218,1.377090,710602.000000,29822.000000
1492.324701,1.377375,704918.000000,29564.000000
1495.543863,1.378032,699704.000000,29301.000000
1498.758704,1.376930,694048.000000,29138.000000
1503.038435,1.379350,685926.000000,28637.000000
1506.243191,1.378445,680148.000000,28455.000000
1509.443626,1.379558,674608.000000,28151.000000
1512.639740,1.379090,668544.000000,27928.000000
1515.831531,1.380102,662594.000000,27615.000000
1519.019001,1.381395,656483.000000,27279.000000
1522.202150,1.381198,650629.000000,27048.000000
1525.380976,1.383173,645306.000000,26705.000000
1528.555481,1.384939,639735.000000,26367.000000
1531.725665,1.385945,634020.000000,26071.000000
1534.891527,1.382917,627659.000000,25990.000000
1538.053067,1.387115,622269.000000,25519.000000
1542.261731,1.385158,615200.000000,25343.000000
1545.413188,1.385689,609827.000000,25091.000000
1548.560322,1.386697,603717.000000,24782.000000
1551.703135,1.387886,598019.000000,24481.000000
1554.841627,1.388639,592181.000000,24200.000000
1557.975797,1.387654,586908.000000,24039.000000
1561.105645,1.391793,581634.000000,23597.000000
1564.231171,1.390296,575359.000000,23423.000000
1567.352376,1.390370,569413.000000,23177.000000
1570.469260,1.391263,564381.000000,22925.000000
1573.581821,1.391669,559167.000000,22692.000000
1576.690061,1.392153,552834.000000,22410.000000
1579.793979,1.390840,545902.000000,22196.000000
1583.925815,1.393392,538160.000000,21753.000000
1587.019649,1.391333,531798.000000,21598.000000
1590.109162,1.390696,525069.000000,21356.000000
1593.194353,1.388088,517012.000000,21155.000000
1596.275223,1.385967,509702.000000,20958.000000
1599.351771,1.386914,501846.000000,20590.000000
1602.423997,1.386915,494194.000000,20276.000000
1605.491902,1.386137,486692.000000,20004.000000
1608.555485,1.386188,478573.000000,19668.000000
1611.614747,1.385952,470336.000000,19340.000000
1614.669686,1.381087,461923.000000,19208.000000
1617.720304,1.381623,453440.000000,18832.000000
1621.781073,1.382129,442060.000000,18338.000000
1624.821607,1.377329,433505.000000,18183.000000
1627.857820,1.377955,424533.000000,17781.000000
1630.889711,1.375662,415861.000000,17510.000000
1633.917280,1.372350,406856.000000,17262.000000
1636.940528,1.370506,398326.000000,16972.000000
1639.959454,1.368191,388738.000000,16652.000000
1642.974059,1.363671,379099.000000,16409.000000
1645.984342,1.362063,369021.000000,16032.000000
1648.990303,1.360569,358096.000000,15611.000000
1651.991942,1.354541,345876.000000,15289.000000
1654.989260,1.343336,330871.000000,15008.000000
1657.982257,1.334199,313599.000000,14527.000000
1661.966196,1.309013,285561.000000,14018.000000
1664.949108,1.290378,259848.000000,13315.000000
1667.927699,1.260634,231057.000000,12679.000000
1670.901969,1.232086,201989.000000,11837.000000
1673.871916,1.206078,173597.000000,10801.000000
1676.837542,1.176911,147503.000000,9815.000000
1679.798846,1.156350,124801.000000,8707.000000
1682.755829,1.149693,105329.000000,7462.000000
1685.708490,1.150271,89413.000000,6326.000000
1688.656830,1.162441,76575.000000,5268.000000
1691.600847,1.166364,66181.000000,4512.000000
1694.540543,1.187117,57404.000000,3731.000000
1698.453416,1.205026,47491.000000,2962.000000
1701.383028,1.204193,41703.000000,2606.000000
