Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:36:28,,
Header Version:,1,,
System Temp (C):,32,,
Detector Temp (C):,27.21,,
Humidity (%):,30.12,,
Lamp PD:,3755,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.689,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,1.068671,72949.000000,6228.000000
905.910380,1.069920,86574.000000,7370.000000
909.838291,1.063728,94937.000000,8198.000000
913.761880,1.061128,104155.000000,9048.000000
917.681147,1.067488,115457.000000,9884.000000
921.596093,1.074352,129508.000000,10913.000000
925.506717,1.074809,146775.000000,12355.000000
929.413019,1.080657,166260.000000,13808.000000
933.315000,1.084688,185226.000000,15241.000000
937.212659,1.087015,202728.000000,16592.000000
941.105996,1.089282,218970.000000,17828.000000
944.995012,1.091583,234123.000000,18961.000000
948.879706,1.099951,248597.000000,19749.000000
954.052576,1.109731,267996.000000,20816.000000
957.927186,1.120646,282408.000000,21391.000000
961.797475,1.127843,296402.000000,22082.000000
965.663442,1.135222,310342.000000,22731.000000
969.525087,1.140411,323067.000000,23382.000000
973.382411,1.145599,335535.000000,23996.000000
977.235413,1.152512,347127.000000,24433.000000
981.084093,1.154567,357110.000000,25017.000000
984.928452,1.161505,365762.000000,25217.000000
988.768490,1.162452,373247.000000,25677.000000
992.604205,1.165551,378804.000000,25874.000000
996.435599,1.168312,382649.000000,25971.000000
1000.262671,1.171038,385370.000000,25992.000000
1005.358712,1.172043,387154.000000,26052.000000
1009.175700,1.172921,387134.000000,25998.000000
1012.988367,1.171426,386471.000000,26043.000000
1016.796712,1.172240,385219.000000,25910.000000
1020.600736,1.170276,383747.000000,25928.000000
1024.400438,1.170074,382119.000000,25830.000000
1028.195818,1.168639,379870.000000,25763.000000
1031.986877,1.168522,377704.000000,25623.000000
1035.773614,1.170002,374438.000000,25315.000000
1039.556029,1.169958,370584.000000,25057.000000
1043.334123,1.171021,367475.000000,24786.000000
1047.107895,1.172896,364330.000000,24468.000000
1052.132869,1.174767,359009.000000,24007.000000
1055.896557,1.171466,356290.000000,24007.000000
1059.655924,1.176035,354149.000000,23613.000000
1063.410969,1.176721,351795.000000,23419.000000
1067.161692,1.177315,349463.000000,23232.000000
1070.908094,1.177570,347652.000000,23098.000000
1074.650174,1.182577,346034.000000,22727.000000
1078.387933,1.183324,344815.000000,22608.000000
1082.121369,1.187986,343958.000000,22311.000000
1085.850485,1.188789,343127.000000,22216.000000
1089.575278,1.192206,343191.000000,22046.000000
1093.295750,1.195420,344015.000000,21936.000000
1097.011900,1.198256,344296.000000,21811.000000
