Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:48:0,,
Header Version:,1,,
System Temp (C):,34.6,,
Detector Temp (C):,30.12,,
Humidity (%):,26.76,,
Lamp PD:,3750,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.660,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.920912,72949.000000,8752.000000
905.910380,0.927342,86574.000000,10234.000000
909.838291,0.922516,94937.000000,11348.000000
913.761880,0.931463,104155.000000,12196.000000
917.681147,0.938536,115457.000000,13301.000000
921.596093,0.949702,129508.000000,14541.000000
925.506717,0.961935,146775.000000,16022.000000
929.413019,0.974437,166260.000000,17634.000000
933.315000,0.982415,185226.000000,19288.000000
937.212659,0.989875,202728.000000,20751.000000
941.105996,0.995678,218970.000000,22116.000000
944.995012,1.006396,234123.000000,23070.000000
948.879706,1.020619,248597.000000,23707.000000
954.052576,1.045841,267996.000000,24115.000000
957.927186,1.066326,282408.000000,24241.000000
961.797475,1.080470,296402.000000,24627.000000
965.663442,1.091009,310342.000000,25167.000000
969.525087,1.098414,323067.000000,25756.000000
973.382411,1.105815,335535.000000,26298.000000
977.235413,1.109769,347127.000000,26960.000000
981.084093,1.113138,357110.000000,27521.000000
984.928452,1.116010,365762.000000,28002.000000
988.768490,1.115858,373247.000000,28585.000000
992.604205,1.117667,378804.000000,28890.000000
996.435599,1.117135,382649.000000,29219.000000
1000.262671,1.117885,385370.000000,29376.000000
1005.358712,1.115083,387154.000000,29703.000000
1009.175700,1.112176,387134.000000,29901.000000
1012.988367,1.109229,386471.000000,30053.000000
1016.796712,1.106709,385219.000000,30130.000000
1020.600736,1.103636,383747.000000,30228.000000
1024.400438,1.099768,382119.000000,30369.000000
1028.195818,1.097047,379870.000000,30380.000000
1031.986877,1.094192,377704.000000,30406.000000
1035.773614,1.093315,374438.000000,30204.000000
1039.556029,1.091968,370584.000000,29986.000000
1043.334123,1.091464,367475.000000,29769.000000
1047.107895,1.087702,364330.000000,29771.000000
1052.132869,1.085534,359009.000000,29483.000000
1055.896557,1.085307,356290.000000,29275.000000
1059.655924,1.083744,354149.000000,29204.000000
1063.410969,1.084791,351795.000000,28940.000000
1067.161692,1.083858,349463.000000,28810.000000
1070.908094,1.084096,347652.000000,28645.000000
1074.650174,1.085266,346034.000000,28435.000000
1078.387933,1.084574,344815.000000,28380.000000
1082.121369,1.087459,343958.000000,28122.000000
1085.850485,1.087491,343127.000000,28052.000000
1089.575278,1.088347,343191.000000,28002.000000
1093.295750,1.090304,344015.000000,27943.000000
1097.011900,1.091063,344296.000000,27917.000000
1101.960045,1.093712,345137.000000,27815.000000
1105.666111,1.093835,346153.000000,27889.000000
1109.367856,1.098257,346661.000000,27647.000000
1113.065279,1.099858,347841.000000,27639.000000
1116.758381,1.103325,348929.000000,27505.000000
1120.447161,1.107833,350595.000000,27351.000000
1124.131619,1.119041,352040.000000,26764.000000
1127.811756,1.132857,353928.000000,26065.000000
1131.487571,1.150301,355980.000000,25184.000000
1135.159064,1.169182,357920.000000,24244.000000
1138.826236,1.193454,360493.000000,23091.000000
1142.489086,1.211177,363800.000000,22371.000000
1147.366164,1.234674,368112.000000,21444.000000
1151.018930,1.249419,371448.000000,20916.000000
1154.667374,1.259233,375777.000000,20687.000000
1158.311497,1.264423,380111.000000,20677.000000
1161.951299,1.270401,384988.000000,20656.000000
1165.586779,1.272020,389793.000000,20836.000000
1169.217937,1.273827,395608.000000,21059.000000
1172.844773,1.271158,401940.000000,21528.000000
1176.467288,1.267739,408458.000000,22050.000000
1180.085481,1.266562,415500.000000,22491.000000
1183.699353,1.261538,423175.000000,23173.000000
1187.308903,1.260778,431167.000000,23652.000000
1190.914131,1.256151,439458.000000,24365.000000
1195.714379,1.255142,450819.000000,25053.000000
1199.309524,1.256389,460669.000000,25527.000000
1202.900347,1.257540,471029.000000,26032.000000
1206.486848,1.260038,480916.000000,26426.000000
1210.069027,1.260205,491861.000000,27017.000000
1213.646885,1.261196,503550.000000,27596.000000
1217.220421,1.257465,515976.000000,28521.000000
1220.789636,1.254333,526727.000000,29326.000000
1224.354529,1.248680,537290.000000,30306.000000
1227.915100,1.244849,549160.000000,31250.000000
1231.471350,1.239234,561812.000000,32386.000000
1235.023278,1.237004,574865.000000,33309.000000
1239.752460,1.233884,589855.000000,34424.000000
1243.294304,1.231552,602768.000000,35367.000000
1246.831827,1.230731,616327.000000,36231.000000
1250.365028,1.229277,628780.000000,37087.000000
1253.893907,1.228636,640245.000000,37819.000000
1257.418465,1.230138,652792.000000,38427.000000
1260.938701,1.230452,665945.000000,39173.000000
1264.454615,1.231923,678287.000000,39764.000000
1267.966208,1.233416,690806.000000,40359.000000
1271.473479,1.235344,704539.000000,40979.000000
1274.976429,1.237049,718686.000000,41638.000000
1278.475056,1.240186,732831.000000,42152.000000
1281.969363,1.243398,745575.000000,42569.000000
1286.621715,1.249868,764267.000000,42991.000000
1290.105938,1.255619,774383.000000,42987.000000
1293.585838,1.261786,783466.000000,42878.000000
1297.061417,1.267613,792419.000000,42790.000000
1300.532675,1.273717,802228.000000,42715.000000
1303.999611,1.280781,810668.000000,42468.000000
1307.462225,1.289332,816703.000000,41950.000000
1310.920518,1.297056,823212.000000,41539.000000
1314.374489,1.305895,830491.000000,41062.000000
1317.824138,1.314455,836234.000000,40539.000000
1321.269466,1.322593,840134.000000,39972.000000
1324.710472,1.331404,843025.000000,39304.000000
1328.147156,1.340770,846348.000000,38617.000000
1332.722679,1.350342,850466.000000,37959.000000
1336.149280,1.356040,851778.000000,37522.000000
1339.571559,1.362353,852802.000000,37025.000000
1342.989516,1.366687,853887.000000,36704.000000
1346.403152,1.371377,855068.000000,36360.000000
1349.812466,1.375727,853771.000000,35943.000000
1353.217459,1.379018,852103.000000,35602.000000
1356.618129,1.380756,851003.000000,35414.000000
1360.014478,1.383421,849616.000000,35140.000000
1363.406506,1.385166,847186.000000,34899.000000
1366.794212,1.386651,845120.000000,34695.000000
1370.177596,1.387714,844187.000000,34572.000000
1374.682052,1.388150,841418.000000,34424.000000
1378.055353,1.390684,837589.000000,34068.000000
1381.424332,1.391181,835101.000000,33928.000000
1384.788989,1.392169,832957.000000,33764.000000
1388.149324,1.392404,830471.000000,33645.000000
1391.505338,1.393198,826502.000000,33423.000000
1394.857030,1.392538,822727.000000,33321.000000
1398.204401,1.392767,819381.000000,33168.000000
1401.547450,1.391128,815212.000000,33124.000000
1404.886177,1.391344,810816.000000,32929.000000
1408.220583,1.392928,807007.000000,32655.000000
1411.550667,1.391928,803845.000000,32602.000000
1414.876429,1.393297,800571.000000,32367.000000
1419.304056,1.392547,795411.000000,32214.000000
1422.619735,1.392172,791863.000000,32098.000000
1425.931092,1.392496,789812.000000,31991.000000
1429.238127,1.392677,787498.000000,31884.000000
1432.540841,1.393098,784703.000000,31740.000000
1435.839233,1.392357,781539.000000,31666.000000
1439.133303,1.391037,779314.000000,31672.000000
1442.423052,1.391151,776294.000000,31541.000000
1445.708479,1.391763,773371.000000,31378.000000
1448.989585,1.390594,769695.000000,31313.000000
1452.266369,1.390793,767073.000000,31192.000000
1455.538831,1.391757,762960.000000,30956.000000
1459.895391,1.391847,757300.000000,30720.000000
1463.157769,1.391855,753568.000000,30568.000000
1466.415826,1.392657,749404.000000,30343.000000
1469.669561,1.391351,743755.000000,30205.000000
1472.918975,1.392273,738352.000000,29922.000000
1476.164067,1.389930,733201.000000,29874.000000
1479.404837,1.392800,727341.000000,29440.000000
1482.641285,1.391966,722073.000000,29283.000000
1485.873412,1.393086,716423.000000,28979.000000
1489.101218,1.392083,710602.000000,28810.000000
1492.324701,1.393218,704918.000000,28505.000000
1495.543863,1.393235,699704.000000,28293.000000
1498.758704,1.393581,694048.000000,28042.000000
1503.038435,1.394724,685926.000000,27641.000000
1506.243191,1.393982,680148.000000,27455.000000
1509.443626,1.395490,674608.000000,27137.000000
1512.639740,1.396072,668544.000000,26857.000000
1515.831531,1.396758,662594.000000,26576.000000
1519.019001,1.397466,656483.000000,26288.000000
1522.202150,1.397576,650629.000000,26047.000000
1525.380976,1.399697,645306.000000,25708.000000
1528.555481,1.400859,639735.000000,25418.000000
1531.725665,1.401082,634020.000000,25178.000000
1534.891527,1.401978,627659.000000,24874.000000
1538.053067,1.401000,622269.000000,24716.000000
1542.261731,1.401538,615200.000000,24405.000000
1545.413188,1.402415,609827.000000,24143.000000
1548.560322,1.404439,603717.000000,23790.000000
1551.703135,1.403858,598019.000000,23597.000000
1554.841627,1.405509,592181.000000,23278.000000
1557.975797,1.405654,586908.000000,23063.000000
1561.105645,1.408031,581634.000000,22731.000000
1564.231171,1.406889,575359.000000,22545.000000
1567.352376,1.405276,569413.000000,22395.000000
1570.469260,1.408538,564381.000000,22031.000000
1573.581821,1.408528,559167.000000,21828.000000
1576.690061,1.410156,552834.000000,21500.000000
1579.793979,1.405627,545902.000000,21453.000000
1583.925815,1.407123,538160.000000,21076.000000
1587.019649,1.407349,531798.000000,20816.000000
1590.109162,1.406919,525069.000000,20573.000000
1593.194353,1.404872,517012.000000,20353.000000
1596.275223,1.405505,509702.000000,20036.000000
1599.351771,1.402154,501846.000000,19880.000000
1602.423997,1.404175,494194.000000,19486.000000
1605.491902,1.401112,486692.000000,19326.000000
1608.555485,1.401583,478573.000000,18983.000000
1611.614747,1.401683,470336.000000,18652.000000
1614.669686,1.399681,461923.000000,18403.000000
1617.720304,1.398721,453440.000000,18105.000000
1621.781073,1.395208,442060.000000,17794.000000
1624.821607,1.392742,433505.000000,17549.000000
1627.857820,1.392181,424533.000000,17208.000000
1630.889711,1.391447,415861.000000,16885.000000
1633.917280,1.388026,406856.000000,16650.000000
1636.940528,1.385104,398326.000000,16411.000000
1639.959454,1.386162,388738.000000,15977.000000
1642.974059,1.384599,379099.000000,15637.000000
1645.984342,1.380377,369021.000000,15370.000000
1648.990303,1.373616,358096.000000,15149.000000
1651.991942,1.372490,345876.000000,14670.000000
1654.989260,1.362021,330871.000000,14376.000000
1657.982257,1.352081,313599.000000,13941.000000
1661.966196,1.327041,285561.000000,13448.000000
1664.949108,1.305951,259848.000000,12846.000000
1667.927699,1.279536,231057.000000,12139.000000
1670.901969,1.252365,201989.000000,11297.000000
1673.871916,1.224686,173597.000000,10348.000000
1676.837542,1.200645,147503.000000,9293.000000
1679.798846,1.188592,124801.000000,8084.000000
1682.755829,1.182254,105329.000000,6923.000000
1685.708490,1.187299,89413.000000,5809.000000
1688.656830,1.191328,76575.000000,4929.000000
1691.600847,1.194907,66181.000000,4225.000000
1694.540543,1.219866,57404.000000,3460.000000
1698.453416,1.238702,47491.000000,2741.000000
1701.383028,1.245419,41703.000000,2370.000000
