Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:30:22,,
Header Version:,1,,
System Temp (C):,28.4,,
Detector Temp (C):,24.13,,
Humidity (%):,35.55,,
Lamp PD:,3760,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.689,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.873703,72949.000000,9757.000000
905.910380,0.879835,86574.000000,11417.000000
909.838291,0.880943,94937.000000,12488.000000
913.761880,0.889313,104155.000000,13439.000000
917.681147,0.894571,115457.000000,14718.000000
921.596093,0.900269,129508.000000,16294.000000
925.506717,0.904391,146775.000000,18292.000000
929.413019,0.911520,166260.000000,20383.000000
933.315000,0.919105,185226.000000,22315.000000
937.212659,0.923224,202728.000000,24193.000000
941.105996,0.927169,218970.000000,25895.000000
944.995012,0.933966,234123.000000,27257.000000
948.879706,0.942162,248597.000000,28401.000000
954.052576,0.959368,267996.000000,29428.000000
957.927186,0.971100,282408.000000,30184.000000
961.797475,0.981656,296402.000000,30919.000000
965.663442,0.994565,310342.000000,31425.000000
969.525087,1.001693,323067.000000,32181.000000
973.382411,1.009308,335535.000000,32842.000000
977.235413,1.018070,347127.000000,33298.000000
981.084093,1.024502,357110.000000,33752.000000
984.928452,1.030024,365762.000000,34133.000000
988.768490,1.034908,373247.000000,34442.000000
992.604205,1.041578,378804.000000,34422.000000
996.435599,1.045876,382649.000000,34429.000000
1000.262671,1.049420,385370.000000,34392.000000
1005.358712,1.053705,387154.000000,34212.000000
1009.175700,1.057726,387134.000000,33895.000000
1012.988367,1.058162,386471.000000,33803.000000
1016.796712,1.058116,385219.000000,33697.000000
1020.600736,1.057318,383747.000000,33630.000000
1024.400438,1.057271,382119.000000,33491.000000
1028.195818,1.058039,379870.000000,33235.000000
1031.986877,1.057520,377704.000000,33085.000000
1035.773614,1.059577,374438.000000,32644.000000
1039.556029,1.059671,370584.000000,32301.000000
1043.334123,1.061192,367475.000000,31918.000000
1047.107895,1.062716,364330.000000,31534.000000
1052.132869,1.060672,359009.000000,31220.000000
1055.896557,1.058638,356290.000000,31129.000000
1059.655924,1.058652,354149.000000,30941.000000
1063.410969,1.057020,351795.000000,30851.000000
1067.161692,1.054611,349463.000000,30817.000000
1070.908094,1.052975,347652.000000,30773.000000
1074.650174,1.051683,346034.000000,30721.000000
1078.387933,1.050957,344815.000000,30664.000000
1082.121369,1.048731,343958.000000,30745.000000
1085.850485,1.045258,343127.000000,30917.000000
1089.575278,1.042413,343191.000000,31126.000000
1093.295750,1.040589,344015.000000,31332.000000
1097.011900,1.036545,344296.000000,31651.000000
1101.960045,1.034841,345137.000000,31853.000000
1105.666111,1.032195,346153.000000,32142.000000
1109.367856,1.030797,346661.000000,32293.000000
1113.065279,1.029097,347841.000000,32530.000000
1116.758381,1.028229,348929.000000,32697.000000
1120.447161,1.032095,350595.000000,32562.000000
1124.131619,1.038251,352040.000000,32236.000000
1127.811756,1.050191,353928.000000,31530.000000
1131.487571,1.063920,355980.000000,30726.000000
1135.159064,1.080576,357920.000000,29731.000000
1138.826236,1.097957,360493.000000,28770.000000
1142.489086,1.111894,363800.000000,28117.000000
1147.366164,1.126553,368112.000000,27506.000000
1151.018930,1.136384,371448.000000,27134.000000
1154.667374,1.146974,375777.000000,26789.000000
1158.311497,1.155355,380111.000000,26580.000000
1161.951299,1.166301,384988.000000,26251.000000
1165.586779,1.171225,389793.000000,26279.000000
1169.217937,1.180425,395608.000000,26112.000000
1172.844773,1.184387,401940.000000,26289.000000
1176.467288,1.187296,408458.000000,26537.000000
1180.085481,1.191930,415500.000000,26708.000000
1183.699353,1.192510,423175.000000,27165.000000
1187.308903,1.191320,431167.000000,27754.000000
1190.914131,1.187403,439458.000000,28544.000000
1195.714379,1.181992,450819.000000,29649.000000
1199.309524,1.179716,460669.000000,30456.000000
1202.900347,1.182092,471029.000000,30971.000000
1206.486848,1.180681,480916.000000,31724.000000
1210.069027,1.182452,491861.000000,32314.000000
1213.646885,1.180578,503550.000000,33225.000000
1217.220421,1.177019,515976.000000,34325.000000
1220.789636,1.171418,526727.000000,35495.000000
1224.354529,1.165164,537290.000000,36732.000000
1227.915100,1.159070,549160.000000,38074.000000
1231.471350,1.152884,561812.000000,39510.000000
1235.023278,1.146454,574865.000000,41031.000000
1239.752460,1.141295,589855.000000,42604.000000
1243.294304,1.137705,602768.000000,43898.000000
1246.831827,1.133790,616327.000000,45292.000000
1250.365028,1.132702,628780.000000,46323.000000
1253.893907,1.133196,640245.000000,47114.000000
1257.418465,1.131422,652792.000000,48234.000000
1260.938701,1.130574,665945.000000,49302.000000
1264.454615,1.131420,678287.000000,50118.000000
1267.966208,1.131982,690806.000000,50977.000000
1271.473479,1.132102,704539.000000,51976.000000
1274.976429,1.132444,718686.000000,52978.000000
1278.475056,1.132481,732831.000000,54016.000000
1281.969363,1.134480,745575.000000,54703.000000
1286.621715,1.136985,764267.000000,55752.000000
1290.105938,1.140117,774383.000000,56084.000000
1293.585838,1.142964,783466.000000,56371.000000
1297.061417,1.147614,792419.000000,56408.000000
1300.532675,1.150952,802228.000000,56669.000000
1303.999611,1.156733,810668.000000,56508.000000
1307.462225,1.162753,816703.000000,56145.000000
1310.920518,1.170578,823212.000000,55582.000000
1314.374489,1.177506,830491.000000,55186.000000
1317.824138,1.187104,836234.000000,54353.000000
1321.269466,1.196230,840134.000000,53471.000000
1324.710472,1.205706,843025.000000,52497.000000
1328.147156,1.216780,846348.000000,51377.000000
1332.722679,1.231443,850466.000000,49913.000000
1336.149280,1.242325,851778.000000,48753.000000
1339.571559,1.254630,852802.000000,47448.000000
1342.989516,1.264172,853887.000000,46476.000000
1346.403152,1.274381,855068.000000,45459.000000
1349.812466,1.281063,853771.000000,44697.000000
1353.217459,1.287513,852103.000000,43952.000000
1356.618129,1.292932,851003.000000,43351.000000
1360.014478,1.295663,849616.000000,43009.000000
1363.406506,1.300695,847186.000000,42392.000000
1366.794212,1.304031,845120.000000,41965.000000
1370.177596,1.307711,844187.000000,41565.000000
1374.682052,1.312588,841418.000000,40966.000000
1378.055353,1.315748,837589.000000,40484.000000
1381.424332,1.317913,835101.000000,40163.000000
1384.788989,1.319149,832957.000000,39946.000000
1388.149324,1.320895,830471.000000,39667.000000
1391.505338,1.323039,826502.000000,39283.000000
1394.857030,1.322147,822727.000000,39184.000000
1398.204401,1.322043,819381.000000,39034.000000
1401.547450,1.321265,815212.000000,38905.000000
1404.886177,1.322650,810816.000000,38572.000000
