Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:47:52,,
Header Version:,1,,
System Temp (C):,34.54,,
Detector Temp (C):,30.1,,
Humidity (%):,26.84,,
Lamp PD:,3751,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.690,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.920614,72949.000000,8758.000000
905.910380,0.926155,86574.000000,10262.000000
909.838291,0.921522,94937.000000,11374.000000
913.761880,0.929899,104155.000000,12240.000000
917.681147,0.942175,115457.000000,13190.000000
921.596093,0.946281,129508.000000,14656.000000
925.506717,0.961908,146775.000000,16023.000000
929.413019,0.972520,166260.000000,17712.000000
933.315000,0.979878,185226.000000,19401.000000
937.212659,0.987433,202728.000000,20868.000000
941.105996,0.995894,218970.000000,22105.000000
944.995012,1.007131,234123.000000,23031.000000
948.879706,1.020949,248597.000000,23689.000000
954.052576,1.049022,267996.000000,23939.000000
957.927186,1.066004,282408.000000,24259.000000
961.797475,1.081405,296402.000000,24574.000000
965.663442,1.090440,310342.000000,25200.000000
969.525087,1.097774,323067.000000,25794.000000
973.382411,1.105419,335535.000000,26322.000000
977.235413,1.109624,347127.000000,26969.000000
981.084093,1.113043,357110.000000,27527.000000
984.928452,1.115684,365762.000000,28023.000000
988.768490,1.117319,373247.000000,28489.000000
992.604205,1.117772,378804.000000,28883.000000
996.435599,1.117939,382649.000000,29165.000000
1000.262671,1.116837,385370.000000,29447.000000
1005.358712,1.115581,387154.000000,29669.000000
1009.175700,1.113616,387134.000000,29802.000000
1012.988367,1.109330,386471.000000,30046.000000
1016.796712,1.105198,385219.000000,30235.000000
1020.600736,1.103018,383747.000000,30271.000000
1024.400438,1.099439,382119.000000,30392.000000
1028.195818,1.095976,379870.000000,30455.000000
1031.986877,1.095222,377704.000000,30334.000000
1035.773614,1.092640,374438.000000,30251.000000
1039.556029,1.090032,370584.000000,30120.000000
1043.334123,1.090473,367475.000000,29837.000000
1047.107895,1.088768,364330.000000,29698.000000
1052.132869,1.088015,359009.000000,29315.000000
1055.896557,1.085129,356290.000000,29287.000000
1059.655924,1.084652,354149.000000,29143.000000
1063.410969,1.085091,351795.000000,28920.000000
1067.161692,1.084431,349463.000000,28772.000000
1070.908094,1.084005,347652.000000,28651.000000
1074.650174,1.084762,346034.000000,28468.000000
1078.387933,1.085585,344815.000000,28314.000000
1082.121369,1.086303,343958.000000,28197.000000
1085.850485,1.086208,343127.000000,28135.000000
1089.575278,1.087278,343191.000000,28071.000000
1093.295750,1.089699,344015.000000,27982.000000
1097.011900,1.092559,344296.000000,27821.000000
1101.960045,1.092527,345137.000000,27891.000000
1105.666111,1.095145,346153.000000,27805.000000
1109.367856,1.096095,346661.000000,27785.000000
1113.065279,1.098086,347841.000000,27752.000000
1116.758381,1.101891,348929.000000,27596.000000
1120.447161,1.106643,350595.000000,27426.000000
1124.131619,1.118684,352040.000000,26786.000000
1127.811756,1.130630,353928.000000,26199.000000
1131.487571,1.151302,355980.000000,25126.000000
1135.159064,1.169827,357920.000000,24208.000000
1138.826236,1.191222,360493.000000,23210.000000
1142.489086,1.212207,363800.000000,22318.000000
1147.366164,1.234715,368112.000000,21442.000000
1151.018930,1.248424,371448.000000,20964.000000
1154.667374,1.261253,375777.000000,20591.000000
1158.311497,1.266803,380111.000000,20564.000000
1161.951299,1.268304,384988.000000,20756.000000
1165.586779,1.272750,389793.000000,20801.000000
1169.217937,1.272962,395608.000000,21101.000000
1172.844773,1.272087,401940.000000,21482.000000
1176.467288,1.266205,408458.000000,22128.000000
1180.085481,1.266003,415500.000000,22520.000000
1183.699353,1.263058,423175.000000,23092.000000
1187.308903,1.257503,431167.000000,23831.000000
1190.914131,1.255563,439458.000000,24398.000000
1195.714379,1.254865,450819.000000,25069.000000
1199.309524,1.256185,460669.000000,25539.000000
1202.900347,1.257157,471029.000000,26055.000000
1206.486848,1.260038,480916.000000,26426.000000
1210.069027,1.261139,491861.000000,26959.000000
1213.646885,1.260725,503550.000000,27626.000000
1217.220421,1.258196,515976.000000,28473.000000
1220.789636,1.253578,526727.000000,29377.000000
1224.354529,1.247807,537290.000000,30367.000000
1227.915100,1.243420,549160.000000,31353.000000
1231.471350,1.238966,561812.000000,32406.000000
1235.023278,1.236340,574865.000000,33360.000000
1239.752460,1.233871,589855.000000,34425.000000
1243.294304,1.231724,602768.000000,35353.000000
1246.831827,1.229629,616327.000000,36323.000000
1250.365028,1.228891,628780.000000,37120.000000
1253.893907,1.228384,640245.000000,37841.000000
1257.418465,1.229066,652792.000000,38522.000000
1260.938701,1.229886,665945.000000,39224.000000
1264.454615,1.230005,678287.000000,39940.000000
1267.966208,1.232481,690806.000000,40446.000000
1271.473479,1.234232,704539.000000,41084.000000
1274.976429,1.237446,718686.000000,41600.000000
1278.475056,1.241693,732831.000000,42006.000000
1281.969363,1.243684,745575.000000,42541.000000
1286.621715,1.250889,764267.000000,42890.000000
1290.105938,1.255649,774383.000000,42984.000000
1293.585838,1.261290,783466.000000,42927.000000
1297.061417,1.267471,792419.000000,42804.000000
1300.532675,1.274521,802228.000000,42636.000000
1303.999611,1.280659,810668.000000,42480.000000
1307.462225,1.289104,816703.000000,41972.000000
1310.920518,1.296617,823212.000000,41581.000000
1314.374489,1.306032,830491.000000,41049.000000
1317.824138,1.313855,836234.000000,40595.000000
1321.269466,1.323779,840134.000000,39863.000000
1324.710472,1.331006,843025.000000,39340.000000
1328.147156,1.339726,846348.000000,38710.000000
1332.722679,1.349382,850466.000000,38043.000000
1336.149280,1.356052,851778.000000,37521.000000
1339.571559,1.363351,852802.000000,36940.000000
1342.989516,1.366604,853887.000000,36711.000000
1346.403152,1.370863,855068.000000,36403.000000
1349.812466,1.374520,853771.000000,36043.000000
1353.217459,1.378408,852103.000000,35652.000000
1356.618129,1.379984,851003.000000,35477.000000
1360.014478,1.383322,849616.000000,35148.000000
1363.406506,1.385415,847186.000000,34879.000000
1366.794212,1.386264,845120.000000,34726.000000
1370.177596,1.387576,844187.000000,34583.000000
1374.682052,1.388567,841418.000000,34391.000000
1378.055353,1.390302,837589.000000,34098.000000
1381.424332,1.390848,835101.000000,33954.000000
1384.788989,1.392194,832957.000000,33762.000000
1388.149324,1.390292,830471.000000,33809.000000
1391.505338,1.393250,826502.000000,33419.000000
1394.857030,1.392108,822727.000000,33354.000000
1398.204401,1.392636,819381.000000,33178.000000
1401.547450,1.391653,815212.000000,33084.000000
1404.886177,1.390487,810816.000000,32994.000000
1408.220583,1.392874,807007.000000,32659.000000
1411.550667,1.391648,803845.000000,32623.000000
1414.876429,1.392225,800571.000000,32447.000000
1419.304056,1.391779,795411.000000,32271.000000
1422.619735,1.391996,791863.000000,32111.000000
1425.931092,1.391777,789812.000000,32044.000000
1429.238127,1.393454,787498.000000,31827.000000
1432.540841,1.392019,784703.000000,31819.000000
