Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:47:44,,
Header Version:,1,,
System Temp (C):,34.49,,
Detector Temp (C):,30.07,,
Humidity (%):,26.94,,
Lamp PD:,3751,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.689,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.919772,72949.000000,8775.000000
905.910380,0.920856,86574.000000,10388.000000
909.838291,0.928605,94937.000000,11190.000000
913.761880,0.933175,104155.000000,12148.000000
917.681147,0.938797,115457.000000,13293.000000
921.596093,0.948926,129508.000000,14567.000000
925.506717,0.962885,146775.000000,15987.000000
929.413019,0.972864,166260.000000,17698.000000
933.315000,0.981088,185226.000000,19347.000000
937.212659,0.987058,202728.000000,20886.000000
941.105996,0.997173,218970.000000,22040.000000
944.995012,1.007244,234123.000000,23025.000000
948.879706,1.021041,248597.000000,23684.000000
954.052576,1.047610,267996.000000,24017.000000
957.927186,1.065485,282408.000000,24288.000000
961.797475,1.080523,296402.000000,24624.000000
965.663442,1.090595,310342.000000,25191.000000
969.525087,1.097336,323067.000000,25820.000000
973.382411,1.105320,335535.000000,26328.000000
977.235413,1.111512,347127.000000,26852.000000
981.084093,1.113833,357110.000000,27477.000000
984.928452,1.117890,365762.000000,27881.000000
988.768490,1.116253,373247.000000,28559.000000
992.604205,1.118224,378804.000000,28853.000000
996.435599,1.118863,382649.000000,29103.000000
1000.262671,1.116247,385370.000000,29487.000000
1005.358712,1.115888,387154.000000,29648.000000
1009.175700,1.112568,387134.000000,29874.000000
1012.988367,1.109142,386471.000000,30059.000000
1016.796712,1.107286,385219.000000,30090.000000
1020.600736,1.102875,383747.000000,30281.000000
1024.400438,1.101057,382119.000000,30279.000000
1028.195818,1.096761,379870.000000,30400.000000
1031.986877,1.094464,377704.000000,30387.000000
1035.773614,1.092081,374438.000000,30290.000000
1039.556029,1.091838,370584.000000,29995.000000
1043.334123,1.090575,367475.000000,29830.000000
1047.107895,1.086987,364330.000000,29820.000000
1052.132869,1.086330,359009.000000,29429.000000
1055.896557,1.085084,356290.000000,29290.000000
1059.655924,1.085577,354149.000000,29081.000000
1063.410969,1.082412,351795.000000,29099.000000
1067.161692,1.083737,349463.000000,28818.000000
1070.908094,1.083581,347652.000000,28679.000000
1074.650174,1.085831,346034.000000,28398.000000
1078.387933,1.084895,344815.000000,28359.000000
1082.121369,1.086580,343958.000000,28179.000000
1085.850485,1.087321,343127.000000,28063.000000
1089.575278,1.089247,343191.000000,27944.000000
1093.295750,1.090802,344015.000000,27911.000000
1097.011900,1.092762,344296.000000,27808.000000
1101.960045,1.094431,345137.000000,27769.000000
1105.666111,1.095458,346153.000000,27785.000000
1109.367856,1.097802,346661.000000,27676.000000
1113.065279,1.099497,347841.000000,27662.000000
1116.758381,1.102222,348929.000000,27575.000000
1120.447161,1.108023,350595.000000,27339.000000
1124.131619,1.117308,352040.000000,26871.000000
1127.811756,1.133074,353928.000000,26052.000000
1131.487571,1.148614,355980.000000,25282.000000
