Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:37:1,,
Header Version:,1,,
System Temp (C):,32.3,,
Detector Temp (C):,27.59,,
Humidity (%):,30.23,,
Lamp PD:,3753,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.671,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,1.069858,72949.000000,6211.000000
905.910380,1.069213,86574.000000,7382.000000
909.838291,1.066331,94937.000000,8149.000000
913.761880,1.069267,104155.000000,8880.000000
917.681147,1.067400,115457.000000,9886.000000
921.596093,1.074591,129508.000000,10907.000000
925.506717,1.077808,146775.000000,12270.000000
929.413019,1.082359,166260.000000,13754.000000
933.315000,1.086144,185226.000000,15190.000000
937.212659,1.087120,202728.000000,16588.000000
941.105996,1.089843,218970.000000,17805.000000
944.995012,1.096929,234123.000000,18729.000000
948.879706,1.098524,248597.000000,19814.000000
954.052576,1.113798,267996.000000,20622.000000
957.927186,1.123518,282408.000000,21250.000000
961.797475,1.129735,296402.000000,21986.000000
965.663442,1.138636,310342.000000,22553.000000
969.525087,1.142011,323067.000000,23296.000000
973.382411,1.148668,335535.000000,23827.000000
977.235413,1.152298,347127.000000,24445.000000
981.084093,1.159385,357110.000000,24741.000000
984.928452,1.163733,365762.000000,25088.000000
988.768490,1.166257,373247.000000,25453.000000
992.604205,1.166845,378804.000000,25797.000000
996.435599,1.170306,382649.000000,25852.000000
1000.262671,1.172394,385370.000000,25911.000000
1005.358712,1.176382,387154.000000,25793.000000
1009.175700,1.177641,387134.000000,25717.000000
1012.988367,1.175682,386471.000000,25789.000000
1016.796712,1.173937,385219.000000,25809.000000
1020.600736,1.173420,383747.000000,25741.000000
1024.400438,1.171742,382119.000000,25731.000000
1028.195818,1.171124,379870.000000,25616.000000
1031.986877,1.169846,377704.000000,25545.000000
1035.773614,1.172687,374438.000000,25159.000000
1039.556029,1.173753,370584.000000,24839.000000
1043.334123,1.174982,367475.000000,24561.000000
1047.107895,1.175246,364330.000000,24336.000000
1052.132869,1.176181,359009.000000,23929.000000
1055.896557,1.174042,356290.000000,23865.000000
1059.655924,1.176495,354149.000000,23588.000000
1063.410969,1.177018,351795.000000,23403.000000
1067.161692,1.179038,349463.000000,23140.000000
1070.908094,1.179700,347652.000000,22985.000000
1074.650174,1.185433,346034.000000,22578.000000
1078.387933,1.188600,344815.000000,22335.000000
1082.121369,1.187539,343958.000000,22334.000000
1085.850485,1.189709,343127.000000,22169.000000
1089.575278,1.194715,343191.000000,21919.000000
1093.295750,1.197205,344015.000000,21846.000000
1097.011900,1.199553,344296.000000,21746.000000
1101.960045,1.201412,345137.000000,21706.000000
1105.666111,1.206002,346153.000000,21541.000000
1109.367856,1.208559,346661.000000,21446.000000
1113.065279,1.216029,347841.000000,21152.000000
1116.758381,1.219650,348929.000000,21042.000000
1120.447161,1.226242,350595.000000,20824.000000
1124.131619,1.238326,352040.000000,20336.000000
1127.811756,1.252733,353928.000000,19778.000000
1131.487571,1.271371,355980.000000,19057.000000
1135.159064,1.288025,357920.000000,18440.000000
1138.826236,1.302011,360493.000000,17984.000000
1142.489086,1.312988,363800.000000,17696.000000
1147.366164,1.325206,368112.000000,17409.000000
1151.018930,1.336978,371448.000000,17097.000000
1154.667374,1.346402,375777.000000,16925.000000
1158.311497,1.354188,380111.000000,16816.000000
1161.951299,1.362185,384988.000000,16721.000000
1165.586779,1.364647,389793.000000,16834.000000
1169.217937,1.367379,395608.000000,16978.000000
1172.844773,1.370252,401940.000000,17136.000000
1176.467288,1.367985,408458.000000,17505.000000
1180.085481,1.363033,415500.000000,18011.000000
1183.699353,1.356867,423175.000000,18606.000000
1187.308903,1.348256,431167.000000,19337.000000
1190.914131,1.340067,439458.000000,20084.000000
1195.714379,1.329864,450819.000000,21093.000000
1199.309524,1.327250,460669.000000,21684.000000
1202.900347,1.321290,471029.000000,22478.000000
1206.486848,1.320700,480916.000000,22981.000000
1210.069027,1.317644,491861.000000,23670.000000
1213.646885,1.314297,503550.000000,24420.000000
1217.220421,1.307933,515976.000000,25392.000000
1220.789636,1.300887,526727.000000,26345.000000
1224.354529,1.294603,537290.000000,27265.000000
1227.915100,1.287974,549160.000000,28296.000000
1231.471350,1.280270,561812.000000,29466.000000
1235.023278,1.275608,574865.000000,30476.000000
1239.752460,1.271815,589855.000000,31545.000000
1243.294304,1.268655,602768.000000,32471.000000
1246.831827,1.266052,616327.000000,33401.000000
1250.365028,1.264727,628780.000000,34180.000000
1253.893907,1.263957,640245.000000,34865.000000
1257.418465,1.261876,652792.000000,35719.000000
1260.938701,1.264562,665945.000000,36214.000000
1264.454615,1.263364,678287.000000,36987.000000
1267.966208,1.265545,690806.000000,37481.000000
1271.473479,1.266069,704539.000000,38180.000000
1274.976429,1.266322,718686.000000,38924.000000
1278.475056,1.267243,732831.000000,39606.000000
1281.969363,1.269932,745575.000000,40046.000000
1286.621715,1.273576,764267.000000,40707.000000
1290.105938,1.276967,774383.000000,40925.000000
1293.585838,1.279650,783466.000000,41150.000000
1297.061417,1.284406,792419.000000,41167.000000
1300.532675,1.288379,802228.000000,41297.000000
1303.999611,1.292788,810668.000000,41310.000000
1307.462225,1.299757,816703.000000,40955.000000
1310.920518,1.306334,823212.000000,40661.000000
1314.374489,1.313890,830491.000000,40313.000000
1317.824138,1.320789,836234.000000,39952.000000
1321.269466,1.329580,840134.000000,39334.000000
1324.710472,1.338163,843025.000000,38697.000000
1328.147156,1.348532,846348.000000,37933.000000
1332.722679,1.361185,850466.000000,37023.000000
1336.149280,1.372831,851778.000000,36099.000000
1339.571559,1.384565,852802.000000,35179.000000
1342.989516,1.396436,853887.000000,34274.000000
1346.403152,1.407890,855068.000000,33428.000000
1349.812466,1.415613,853771.000000,32789.000000
1353.217459,1.420349,852103.000000,32370.000000
1356.618129,1.424930,851003.000000,31989.000000
1360.014478,1.428616,849616.000000,31667.000000
1363.406506,1.437094,847186.000000,30966.000000
1366.794212,1.439045,845120.000000,30752.000000
1370.177596,1.441612,844187.000000,30537.000000
1374.682052,1.446402,841418.000000,30103.000000
1378.055353,1.448888,837589.000000,29795.000000
1381.424332,1.450594,835101.000000,29590.000000
1384.788989,1.456536,832957.000000,29113.000000
1388.149324,1.457676,830471.000000,28950.000000
1391.505338,1.460681,826502.000000,28613.000000
1394.857030,1.460868,822727.000000,28470.000000
1398.204401,1.459617,819381.000000,28436.000000
1401.547450,1.459009,815212.000000,28331.000000
1404.886177,1.458904,810816.000000,28185.000000
1408.220583,1.459564,807007.000000,28010.000000
1411.550667,1.459008,803845.000000,27936.000000
1414.876429,1.458341,800571.000000,27865.000000
1419.304056,1.458284,795411.000000,27689.000000
1422.619735,1.458103,791863.000000,27577.000000
1425.931092,1.456630,789812.000000,27599.000000
1429.238127,1.457723,787498.000000,27449.000000
1432.540841,1.457970,784703.000000,27336.000000
1435.839233,1.454962,781539.000000,27415.000000
1439.133303,1.457319,779314.000000,27189.000000
1442.423052,1.455809,776294.000000,27178.000000
1445.708479,1.454282,773371.000000,27171.000000
1448.989585,1.453927,769695.000000,27064.000000
1452.266369,1.452718,767073.000000,27047.000000
1455.538831,1.454659,762960.000000,26782.000000
1459.895391,1.453457,757300.000000,26657.000000
1463.157769,1.451670,753568.000000,26635.000000
1466.415826,1.454711,749404.000000,26303.000000
1469.669561,1.452102,743755.000000,26262.000000
1472.918975,1.454210,738352.000000,25945.000000
1476.164067,1.451488,733201.000000,25926.000000
1479.404837,1.452668,727341.000000,25649.000000
1482.641285,1.452859,722073.000000,25452.000000
1485.873412,1.450883,716423.000000,25368.000000
1489.101218,1.452403,710602.000000,25074.000000
1492.324701,1.453179,704918.000000,24829.000000
1495.543863,1.452270,699704.000000,24697.000000
1498.758704,1.451533,694048.000000,24539.000000
1503.038435,1.451637,685926.000000,24246.000000
1506.243191,1.452718,680148.000000,23982.000000
1509.443626,1.452456,674608.000000,23801.000000
1512.639740,1.452955,668544.000000,23560.000000
1515.831531,1.454283,662594.000000,23279.000000
1519.019001,1.454647,656483.000000,23045.000000
1522.202150,1.456543,650629.000000,22740.000000
1525.380976,1.454295,645306.000000,22671.000000
1528.555481,1.454088,639735.000000,22486.000000
1531.725665,1.455887,634020.000000,22193.000000
1534.891527,1.456111,627659.000000,21959.000000
1538.053067,1.456998,622269.000000,21726.000000
1542.261731,1.458663,615200.000000,21397.000000
1545.413188,1.457419,609827.000000,21271.000000
1548.560322,1.458490,603717.000000,21006.000000
1551.703135,1.456714,598019.000000,20893.000000
1554.841627,1.460298,592181.000000,20519.000000
1557.975797,1.461802,586908.000000,20266.000000
1561.105645,1.461238,581634.000000,20110.000000
1564.231171,1.459865,575359.000000,19956.000000
1567.352376,1.461976,569413.000000,19654.000000
1570.469260,1.459671,564381.000000,19584.000000
1573.581821,1.461422,559167.000000,19325.000000
1576.690061,1.463042,552834.000000,19035.000000
1579.793979,1.461596,545902.000000,18859.000000
1583.925815,1.462638,538160.000000,18547.000000
1587.019649,1.461236,531798.000000,18387.000000
1590.109162,1.460217,525069.000000,18197.000000
1593.194353,1.460648,517012.000000,17900.000000
1596.275223,1.458706,509702.000000,17726.000000
1599.351771,1.454688,501846.000000,17615.000000
1602.423997,1.458950,494194.000000,17177.000000
1605.491902,1.456142,486692.000000,17026.000000
1608.555485,1.459762,478573.000000,16603.000000
1611.614747,1.455477,470336.000000,16479.000000
1614.669686,1.454358,461923.000000,16226.000000
1617.720304,1.453188,453440.000000,15971.000000
1621.781073,1.450745,442060.000000,15658.000000
1624.821607,1.450292,433505.000000,15371.000000
1627.857820,1.446611,424533.000000,15181.000000
1630.889711,1.448452,415861.000000,14808.000000
1633.917280,1.445862,406856.000000,14574.000000
1636.940528,1.446576,398326.000000,14245.000000
1639.959454,1.441981,388738.000000,14050.000000
1642.974059,1.438999,379099.000000,13796.000000
1645.984342,1.431918,369021.000000,13650.000000
1648.990303,1.429756,358096.000000,13312.000000
1651.991942,1.425646,345876.000000,12980.000000
1654.989260,1.416437,330871.000000,12683.000000
1657.982257,1.411441,313599.000000,12160.000000
1661.966196,1.388219,285561.000000,11681.000000
1664.949108,1.369201,259848.000000,11105.000000
1667.927699,1.345601,231057.000000,10426.000000
1670.901969,1.324779,201989.000000,9562.000000
1673.871916,1.305347,173597.000000,8594.000000
1676.837542,1.291430,147503.000000,7540.000000
1679.798846,1.273788,124801.000000,6644.000000
1682.755829,1.270423,105329.000000,5651.000000
1685.708490,1.281805,89413.000000,4673.000000
1688.656830,1.277598,76575.000000,4041.000000
1691.600847,1.275426,66181.000000,3510.000000
1694.540543,1.308385,57404.000000,2822.000000
1698.453416,1.308324,47491.000000,2335.000000
1701.383028,1.291788,41703.000000,2130.000000
