Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:39:38,,
Header Version:,1,,
System Temp (C):,33.04,,
Detector Temp (C):,28.69,,
Humidity (%):,29.96,,
Lamp PD:,3753,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.675,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.920168,72949.000000,8767.000000
905.910380,0.927342,86574.000000,10234.000000
909.838291,0.930901,94937.000000,11131.000000
913.761880,0.936549,104155.000000,12054.000000
917.681147,0.943329,115457.000000,13155.000000
921.596093,0.955475,129508.000000,14349.000000
925.506717,0.960204,146775.000000,16086.000000
929.413019,0.973527,166260.000000,17671.000000
933.315000,0.979207,185226.000000,19431.000000
937.212659,0.985585,202728.000000,20957.000000
941.105996,0.989246,218970.000000,22446.000000
944.995012,0.997914,234123.000000,23525.000000
948.879706,1.011627,248597.000000,24203.000000
954.052576,1.034465,267996.000000,24755.000000
957.927186,1.050564,282408.000000,25137.000000
961.797475,1.062895,296402.000000,25644.000000
965.663442,1.076734,310342.000000,26008.000000
969.525087,1.082537,323067.000000,26715.000000
973.382411,1.089750,335535.000000,27289.000000
977.235413,1.094962,347127.000000,27895.000000
981.084093,1.102291,357110.000000,28217.000000
984.928452,1.106044,365762.000000,28652.000000
988.768490,1.106866,373247.000000,29183.000000
992.604205,1.109536,378804.000000,29436.000000
996.435599,1.111582,382649.000000,29595.000000
1000.262671,1.111953,385370.000000,29780.000000
1005.358712,1.112998,387154.000000,29846.000000
1009.175700,1.112118,387134.000000,29905.000000
1012.988367,1.107614,386471.000000,30165.000000
1016.796712,1.106709,385219.000000,30130.000000
1020.600736,1.103334,383747.000000,30249.000000
1024.400438,1.100828,382119.000000,30295.000000
1028.195818,1.098379,379870.000000,30287.000000
1031.986877,1.095594,377704.000000,30308.000000
1035.773614,1.096215,374438.000000,30003.000000
1039.556029,1.095210,370584.000000,29763.000000
1043.334123,1.093789,367475.000000,29610.000000
1047.107895,1.093487,364330.000000,29377.000000
1052.132869,1.090839,359009.000000,29125.000000
1055.896557,1.089540,356290.000000,28991.000000
1059.655924,1.089899,354149.000000,28793.000000
1063.410969,1.089150,351795.000000,28651.000000
1067.161692,1.087126,349463.000000,28594.000000
1070.908094,1.087765,347652.000000,28404.000000
1074.650174,1.089363,346034.000000,28168.000000
1078.387933,1.089607,344815.000000,28053.000000
1082.121369,1.088789,343958.000000,28036.000000
1085.850485,1.088033,343127.000000,28017.000000
1089.575278,1.088735,343191.000000,27977.000000
1093.295750,1.090304,344015.000000,27943.000000
1097.011900,1.090426,344296.000000,27958.000000
1101.960045,1.092045,345137.000000,27922.000000
1105.666111,1.094240,346153.000000,27863.000000
1109.367856,1.093523,346661.000000,27950.000000
1113.065279,1.093975,347841.000000,28016.000000
1116.758381,1.096138,348929.000000,27964.000000
1120.447161,1.101715,350595.000000,27739.000000
1124.131619,1.112438,352040.000000,27174.000000
1127.811756,1.124981,353928.000000,26542.000000
1131.487571,1.140952,355980.000000,25732.000000
1135.159064,1.159877,357920.000000,24769.000000
1138.826236,1.180375,360493.000000,23797.000000
1142.489086,1.199910,363800.000000,22959.000000
1147.366164,1.220156,368112.000000,22173.000000
1151.018930,1.231780,371448.000000,21783.000000
1154.667374,1.242350,375777.000000,21507.000000
1158.311497,1.253063,380111.000000,21225.000000
1161.951299,1.258374,384988.000000,21236.000000
1165.586779,1.259366,389793.000000,21452.000000
1169.217937,1.261847,395608.000000,21648.000000
1172.844773,1.264074,401940.000000,21882.000000
1176.467288,1.263954,408458.000000,22243.000000
1180.085481,1.263848,415500.000000,22632.000000
1183.699353,1.262682,423175.000000,23112.000000
1187.308903,1.257886,431167.000000,23810.000000
1190.914131,1.254230,439458.000000,24473.000000
1195.714379,1.252964,450819.000000,25179.000000
1199.309524,1.252629,460669.000000,25749.000000
1202.900347,1.253538,471029.000000,26273.000000
1206.486848,1.255070,480916.000000,26730.000000
1210.069027,1.255712,491861.000000,27298.000000
1213.646885,1.252981,503550.000000,28123.000000
1217.220421,1.250127,515976.000000,29007.000000
1220.789636,1.246510,526727.000000,29859.000000
1224.354529,1.241997,537290.000000,30776.000000
1227.915100,1.235160,549160.000000,31955.000000
1231.471350,1.231657,561812.000000,32956.000000
1235.023278,1.226748,574865.000000,34105.000000
1239.752460,1.223574,589855.000000,35251.000000
1243.294304,1.220399,602768.000000,36287.000000
1246.831827,1.217765,616327.000000,37329.000000
1250.365028,1.217790,628780.000000,38081.000000
1253.893907,1.216866,640245.000000,38858.000000
1257.418465,1.217233,652792.000000,39586.000000
1260.938701,1.218392,665945.000000,40276.000000
1264.454615,1.218418,678287.000000,41020.000000
1267.966208,1.219355,690806.000000,41687.000000
1271.473479,1.219782,704539.000000,42474.000000
1274.976429,1.222284,718686.000000,43078.000000
1278.475056,1.223331,732831.000000,43820.000000
1281.969363,1.226784,745575.000000,44229.000000
1286.621715,1.232180,764267.000000,44778.000000
1290.105938,1.235811,774383.000000,44993.000000
1293.585838,1.241252,783466.000000,44954.000000
1297.061417,1.247299,792419.000000,44839.000000
1300.532675,1.253447,802228.000000,44756.000000
1303.999611,1.259986,810668.000000,44551.000000
1307.462225,1.267360,816703.000000,44127.000000
1310.920518,1.276623,823212.000000,43540.000000
1314.374489,1.284465,830491.000000,43139.000000
1317.824138,1.294481,836234.000000,42447.000000
1321.269466,1.303442,840134.000000,41774.000000
1324.710472,1.313004,843025.000000,41005.000000
1328.147156,1.320673,846348.000000,40446.000000
1332.722679,1.334139,850466.000000,39402.000000
1336.149280,1.340935,851778.000000,38850.000000
1339.571559,1.349126,852802.000000,38170.000000
1342.989516,1.354978,853887.000000,37707.000000
1346.403152,1.361376,855068.000000,37207.000000
1349.812466,1.365210,853771.000000,36824.000000
1353.217459,1.369797,852103.000000,36366.000000
1356.618129,1.372592,851003.000000,36086.000000
1360.014478,1.375485,849616.000000,35788.000000
1363.406506,1.377897,847186.000000,35488.000000
1366.794212,1.380474,845120.000000,35192.000000
1370.177596,1.381949,844187.000000,35034.000000
1374.682052,1.383196,841418.000000,34819.000000
1378.055353,1.385073,837589.000000,34511.000000
1381.424332,1.387002,835101.000000,34256.000000
1384.788989,1.388289,832957.000000,34067.000000
1388.149324,1.389240,830471.000000,33891.000000
1391.505338,1.388867,826502.000000,33758.000000
1394.857030,1.389162,822727.000000,33581.000000
1398.204401,1.389518,819381.000000,33417.000000
1401.547450,1.388175,815212.000000,33350.000000
1404.886177,1.388229,810816.000000,33166.000000
1408.220583,1.388561,807007.000000,32985.000000
1411.550667,1.388201,803845.000000,32883.000000
1414.876429,1.388759,800571.000000,32707.000000
1419.304056,1.389953,795411.000000,32407.000000
1422.619735,1.388306,791863.000000,32385.000000
1425.931092,1.389830,789812.000000,32188.000000
1429.238127,1.389839,787498.000000,32093.000000
1432.540841,1.388471,784703.000000,32080.000000
1435.839233,1.388235,781539.000000,31968.000000
1439.133303,1.388317,779314.000000,31871.000000
1442.423052,1.388816,776294.000000,31711.000000
1445.708479,1.388838,773371.000000,31590.000000
1448.989585,1.387664,769695.000000,31525.000000
1452.266369,1.386457,767073.000000,31505.000000
1455.538831,1.388445,762960.000000,31193.000000
1459.895391,1.389844,757300.000000,30862.000000
1463.157769,1.388628,753568.000000,30796.000000
1466.415826,1.388541,749404.000000,30632.000000
1469.669561,1.388842,743755.000000,30380.000000
1472.918975,1.388890,738352.000000,30156.000000
1476.164067,1.388913,733201.000000,29944.000000
1479.404837,1.389918,727341.000000,29636.000000
1482.641285,1.389201,722073.000000,29470.000000
1485.873412,1.389861,716423.000000,29195.000000
1489.101218,1.389483,710602.000000,28983.000000
1492.324701,1.390923,704918.000000,28656.000000
1495.543863,1.392116,699704.000000,28366.000000
1498.758704,1.390033,694048.000000,28272.000000
1503.038435,1.390844,685926.000000,27889.000000
1506.243191,1.392072,680148.000000,27576.000000
1509.443626,1.393366,674608.000000,27270.000000
1512.639740,1.394072,668544.000000,26981.000000
1515.831531,1.394753,662594.000000,26699.000000
1519.019001,1.395850,656483.000000,26386.000000
1522.202150,1.395463,650629.000000,26174.000000
1525.380976,1.397860,645306.000000,25817.000000
1528.555481,1.396794,639735.000000,25657.000000
1531.725665,1.400513,634020.000000,25211.000000
