Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:47:12,,
Header Version:,1,,
System Temp (C):,34.28,,
Detector Temp (C):,29.89,,
Humidity (%):,27.27,,
Lamp PD:,3752,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.675,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.917354,72949.000000,8824.000000
905.910380,0.921148,86574.000000,10381.000000
909.838291,0.920493,94937.000000,11401.000000
913.761880,0.933283,104155.000000,12145.000000
917.681147,0.939975,115457.000000,13257.000000
921.596093,0.948301,129508.000000,14588.000000
925.506717,0.961421,146775.000000,16041.000000
929.413019,0.972569,166260.000000,17710.000000
933.315000,0.981290,185226.000000,19338.000000
937.212659,0.988245,202728.000000,20829.000000
941.105996,0.997134,218970.000000,22042.000000
944.995012,1.005795,234123.000000,23102.000000
948.879706,1.020491,248597.000000,23714.000000
954.052576,1.047863,267996.000000,24003.000000
957.927186,1.063825,282408.000000,24381.000000
961.797475,1.077622,296402.000000,24789.000000
965.663442,1.090854,310342.000000,25176.000000
969.525087,1.098246,323067.000000,25766.000000
973.382411,1.104430,335535.000000,26382.000000
977.235413,1.109785,347127.000000,26959.000000
981.084093,1.112161,357110.000000,27583.000000
984.928452,1.116335,365762.000000,27981.000000
988.768490,1.116801,373247.000000,28523.000000
992.604205,1.118781,378804.000000,28816.000000
996.435599,1.117805,382649.000000,29174.000000
1000.262671,1.116675,385370.000000,29458.000000
1005.358712,1.113915,387154.000000,29783.000000
1009.175700,1.112975,387134.000000,29846.000000
1012.988367,1.110169,386471.000000,29988.000000
1016.796712,1.105787,385219.000000,30194.000000
1020.600736,1.102588,383747.000000,30301.000000
1024.400438,1.100226,382119.000000,30337.000000
1028.195818,1.095563,379870.000000,30484.000000
1031.986877,1.092667,377704.000000,30513.000000
1035.773614,1.090892,374438.000000,30373.000000
1039.556029,1.091794,370584.000000,29998.000000
1043.334123,1.089339,367475.000000,29915.000000
1047.107895,1.087133,364330.000000,29810.000000
1052.132869,1.085431,359009.000000,29490.000000
1055.896557,1.083678,356290.000000,29385.000000
1059.655924,1.084384,354149.000000,29161.000000
1063.410969,1.084431,351795.000000,28964.000000
1067.161692,1.084476,349463.000000,28769.000000
1070.908094,1.082114,347652.000000,28776.000000
1074.650174,1.084808,346034.000000,28465.000000
1078.387933,1.084880,344815.000000,28360.000000
1082.121369,1.084474,343958.000000,28316.000000
1085.850485,1.087584,343127.000000,28046.000000
1089.575278,1.087433,343191.000000,28061.000000
1093.295750,1.090631,344015.000000,27922.000000
1097.011900,1.091203,344296.000000,27908.000000
1101.960045,1.091812,345137.000000,27937.000000
1105.666111,1.093944,346153.000000,27882.000000
1109.367856,1.095829,346661.000000,27802.000000
1113.065279,1.098462,347841.000000,27728.000000
1116.758381,1.101623,348929.000000,27613.000000
1120.447161,1.107293,350595.000000,27385.000000
1124.131619,1.118198,352040.000000,26816.000000
1127.811756,1.131742,353928.000000,26132.000000
1131.487571,1.149594,355980.000000,25225.000000
1135.159064,1.170006,357920.000000,24198.000000
1138.826236,1.192796,360493.000000,23126.000000
1142.489086,1.212519,363800.000000,22302.000000
1147.366164,1.236643,368112.000000,21347.000000
1151.018930,1.246048,371448.000000,21079.000000
1154.667374,1.258750,375777.000000,20710.000000
1158.311497,1.267162,380111.000000,20547.000000
1161.951299,1.268911,384988.000000,20727.000000
1165.586779,1.271104,389793.000000,20880.000000
1169.217937,1.271093,395608.000000,21192.000000
1172.844773,1.270190,401940.000000,21576.000000
1176.467288,1.267877,408458.000000,22043.000000
1180.085481,1.267780,415500.000000,22428.000000
1183.699353,1.263190,423175.000000,23085.000000
1187.308903,1.261366,431167.000000,23620.000000
1190.914131,1.256936,439458.000000,24321.000000
1195.714379,1.255802,450819.000000,25015.000000
1199.309524,1.257889,460669.000000,25439.000000
1202.900347,1.258191,471029.000000,25993.000000
1206.486848,1.258905,480916.000000,26495.000000
1210.069027,1.259836,491861.000000,27040.000000
1213.646885,1.259500,503550.000000,27704.000000
1217.220421,1.256947,515976.000000,28555.000000
1220.789636,1.254392,526727.000000,29322.000000
1224.354529,1.248336,537290.000000,30330.000000
1227.915100,1.245558,549160.000000,31199.000000
1231.471350,1.239287,561812.000000,32382.000000
1235.023278,1.237187,574865.000000,33295.000000
1239.752460,1.233720,589855.000000,34437.000000
1243.294304,1.231736,602768.000000,35352.000000
1246.831827,1.228984,616327.000000,36377.000000
1250.365028,1.230027,628780.000000,37023.000000
1253.893907,1.229107,640245.000000,37778.000000
1257.418465,1.229528,652792.000000,38481.000000
1260.938701,1.229787,665945.000000,39233.000000
1264.454615,1.231018,678287.000000,39847.000000
1267.966208,1.233760,690806.000000,40327.000000
1271.473479,1.235111,704539.000000,41001.000000
1274.976429,1.235727,718686.000000,41765.000000
1278.475056,1.239661,732831.000000,42203.000000
1281.969363,1.244266,745575.000000,42484.000000
1286.621715,1.249706,764267.000000,43007.000000
1290.105938,1.254751,774383.000000,43073.000000
1293.585838,1.260249,783466.000000,43030.000000
1297.061417,1.267318,792419.000000,42819.000000
1300.532675,1.273819,802228.000000,42705.000000
1303.999611,1.281006,810668.000000,42446.000000
1307.462225,1.289198,816703.000000,41963.000000
1310.920518,1.297642,823212.000000,41483.000000
1314.374489,1.305335,830491.000000,41115.000000
1317.824138,1.314433,836234.000000,40541.000000
1321.269466,1.323702,840134.000000,39870.000000
1324.710472,1.332621,843025.000000,39194.000000
1328.147156,1.341074,846348.000000,38590.000000
1332.722679,1.350674,850466.000000,37930.000000
1336.149280,1.357025,851778.000000,37437.000000
1339.571559,1.362259,852802.000000,37033.000000
1342.989516,1.366829,853887.000000,36692.000000
1346.403152,1.374301,855068.000000,36116.000000
1349.812466,1.376307,853771.000000,35895.000000
1353.217459,1.379286,852103.000000,35580.000000
1356.618129,1.381849,851003.000000,35325.000000
1360.014478,1.383260,849616.000000,35153.000000
1363.406506,1.384917,847186.000000,34919.000000
1366.794212,1.385701,845120.000000,34771.000000
1370.177596,1.388255,844187.000000,34529.000000
1374.682052,1.390846,841418.000000,34211.000000
1378.055353,1.390455,837589.000000,34086.000000
1381.424332,1.391565,835101.000000,33898.000000
1384.788989,1.393392,832957.000000,33669.000000
1388.149324,1.393153,830471.000000,33587.000000
1391.505338,1.393640,826502.000000,33389.000000
1394.857030,1.393099,822727.000000,33278.000000
1398.204401,1.392701,819381.000000,33173.000000
1401.547450,1.392204,815212.000000,33042.000000
1404.886177,1.392837,810816.000000,32816.000000
1408.220583,1.392396,807007.000000,32695.000000
1411.550667,1.393824,803845.000000,32460.000000
1414.876429,1.392855,800571.000000,32400.000000
1419.304056,1.392143,795411.000000,32244.000000
1422.619735,1.392781,791863.000000,32053.000000
1425.931092,1.394155,789812.000000,31869.000000
1429.238127,1.392418,787498.000000,31903.000000
1432.540841,1.393290,784703.000000,31726.000000
1435.839233,1.390510,781539.000000,31801.000000
1439.133303,1.390777,779314.000000,31691.000000
1442.423052,1.391867,776294.000000,31489.000000
1445.708479,1.390602,773371.000000,31462.000000
1448.989585,1.391594,769695.000000,31241.000000
1452.266369,1.390807,767073.000000,31191.000000
1455.538831,1.391687,762960.000000,30961.000000
1459.895391,1.391734,757300.000000,30728.000000
1463.157769,1.391571,753568.000000,30588.000000
1466.415826,1.392328,749404.000000,30366.000000
1469.669561,1.393094,743755.000000,30084.000000
1472.918975,1.393334,738352.000000,29849.000000
1476.164067,1.391794,733201.000000,29746.000000
1479.404837,1.392373,727341.000000,29469.000000
1482.641285,1.391773,722073.000000,29296.000000
1485.873412,1.392966,716423.000000,28987.000000
1489.101218,1.394335,710602.000000,28661.000000
1492.324701,1.394224,704918.000000,28439.000000
1495.543863,1.394604,699704.000000,28204.000000
1498.758704,1.394262,694048.000000,27998.000000
1503.038435,1.395022,685926.000000,27622.000000
1506.243191,1.394694,680148.000000,27410.000000
