Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:30:47,,
Header Version:,1,,
System Temp (C):,28.94,,
Detector Temp (C):,24.52,,
Humidity (%):,34.59,,
Lamp PD:,3759,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.674,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.867911,72949.000000,9888.000000
905.910380,0.878051,86574.000000,11464.000000
909.838291,0.880143,94937.000000,12511.000000
913.761880,0.889410,104155.000000,13436.000000
917.681147,0.897087,115457.000000,14633.000000
921.596093,0.899497,129508.000000,16323.000000
925.506717,0.906485,146775.000000,18204.000000
929.413019,0.912394,166260.000000,20342.000000
933.315000,0.919611,185226.000000,22289.000000
937.212659,0.924608,202728.000000,24116.000000
941.105996,0.928058,218970.000000,25842.000000
944.995012,0.934955,234123.000000,27195.000000
948.879706,0.944401,248597.000000,28255.000000
954.052576,0.958674,267996.000000,29475.000000
957.927186,0.972830,282408.000000,30064.000000
961.797475,0.982894,296402.000000,30831.000000
965.663442,0.994013,310342.000000,31465.000000
969.525087,1.001369,323067.000000,32205.000000
973.382411,1.010712,335535.000000,32736.000000
977.235413,1.017067,347127.000000,33375.000000
981.084093,1.023975,357110.000000,33793.000000
984.928452,1.031554,365762.000000,34013.000000
988.768490,1.035451,373247.000000,34399.000000
992.604205,1.040558,378804.000000,34503.000000
996.435599,1.043775,382649.000000,34596.000000
1000.262671,1.049698,385370.000000,34370.000000
1005.358712,1.053350,387154.000000,34240.000000
1009.175700,1.056855,387134.000000,33963.000000
1012.988367,1.058123,386471.000000,33806.000000
1016.796712,1.058903,385219.000000,33636.000000
1020.600736,1.056634,383747.000000,33683.000000
1024.400438,1.055795,382119.000000,33605.000000
1028.195818,1.056227,379870.000000,33374.000000
1031.986877,1.057192,377704.000000,33110.000000
1035.773614,1.058992,374438.000000,32688.000000
1039.556029,1.059281,370584.000000,32330.000000
1043.334123,1.061247,367475.000000,31914.000000
1047.107895,1.061506,364330.000000,31622.000000
1052.132869,1.060965,359009.000000,31199.000000
1055.896557,1.058973,356290.000000,31105.000000
1059.655924,1.058189,354149.000000,30974.000000
1063.410969,1.058289,351795.000000,30761.000000
1067.161692,1.055825,349463.000000,30731.000000
1070.908094,1.054049,347652.000000,30697.000000
1074.650174,1.052717,346034.000000,30648.000000
1078.387933,1.050731,344815.000000,30680.000000
1082.121369,1.047856,343958.000000,30807.000000
1085.850485,1.045862,343127.000000,30874.000000
1089.575278,1.041298,343191.000000,31206.000000
1093.295750,1.039883,344015.000000,31383.000000
1097.011900,1.037355,344296.000000,31592.000000
1101.960045,1.034065,345137.000000,31910.000000
1105.666111,1.033277,346153.000000,32062.000000
1109.367856,1.029588,346661.000000,32383.000000
1113.065279,1.029698,347841.000000,32485.000000
1116.758381,1.029706,348929.000000,32586.000000
1120.447161,1.031855,350595.000000,32580.000000
1124.131619,1.038817,352040.000000,32194.000000
1127.811756,1.050108,353928.000000,31536.000000
1131.487571,1.064514,355980.000000,30684.000000
1135.159064,1.080942,357920.000000,29706.000000
1138.826236,1.096209,360493.000000,28886.000000
1142.489086,1.111770,363800.000000,28125.000000
1147.366164,1.126647,368112.000000,27500.000000
1151.018930,1.136688,371448.000000,27115.000000
1154.667374,1.146585,375777.000000,26813.000000
1158.311497,1.157501,380111.000000,26449.000000
1161.951299,1.165029,384988.000000,26328.000000
1165.586779,1.172019,389793.000000,26231.000000
1169.217937,1.181241,395608.000000,26063.000000
1172.844773,1.183496,401940.000000,26343.000000
1176.467288,1.187116,408458.000000,26548.000000
1180.085481,1.191458,415500.000000,26737.000000
1183.699353,1.193407,423175.000000,27109.000000
1187.308903,1.190757,431167.000000,27790.000000
1190.914131,1.187007,439458.000000,28570.000000
1195.714379,1.181173,450819.000000,29705.000000
1199.309524,1.181302,460669.000000,30345.000000
1202.900347,1.181490,471029.000000,31014.000000
1206.486848,1.182602,480916.000000,31584.000000
1210.069027,1.181056,491861.000000,32418.000000
1213.646885,1.180369,503550.000000,33241.000000
1217.220421,1.177804,515976.000000,34263.000000
1220.789636,1.171896,526727.000000,35456.000000
1224.354529,1.164656,537290.000000,36775.000000
1227.915100,1.159344,549160.000000,38050.000000
1231.471350,1.151984,561812.000000,39592.000000
1235.023278,1.146126,574865.000000,41062.000000
1239.752460,1.141887,589855.000000,42546.000000
1243.294304,1.137893,602768.000000,43879.000000
1246.831827,1.134481,616327.000000,45220.000000
1250.365028,1.132768,628780.000000,46316.000000
1253.893907,1.131733,640245.000000,47273.000000
1257.418465,1.132332,652792.000000,48133.000000
1260.938701,1.132242,665945.000000,49113.000000
1264.454615,1.132296,678287.000000,50017.000000
1267.966208,1.131488,690806.000000,51035.000000
1271.473479,1.131459,704539.000000,52053.000000
1274.976429,1.131878,718686.000000,53047.000000
1278.475056,1.133528,732831.000000,53886.000000
1281.969363,1.134139,745575.000000,54746.000000
1286.621715,1.137928,764267.000000,55631.000000
1290.105938,1.140218,774383.000000,56071.000000
1293.585838,1.143635,783466.000000,56284.000000
1297.061417,1.147029,792419.000000,56484.000000
1300.532675,1.151696,802228.000000,56572.000000
1303.999611,1.156602,810668.000000,56525.000000
1307.462225,1.162954,816703.000000,56119.000000
1310.920518,1.170296,823212.000000,55618.000000
1314.374489,1.178546,830491.000000,55054.000000
1317.824138,1.186410,836234.000000,54440.000000
1321.269466,1.196198,840134.000000,53475.000000
1324.710472,1.207272,843025.000000,52308.000000
1328.147156,1.217491,846348.000000,51293.000000
1332.722679,1.232279,850466.000000,49817.000000
1336.149280,1.242789,851778.000000,48701.000000
1339.571559,1.254164,852802.000000,47499.000000
1342.989516,1.264461,853887.000000,46445.000000
1346.403152,1.273856,855068.000000,45514.000000
1349.812466,1.280548,853771.000000,44750.000000
1353.217459,1.288334,852103.000000,43869.000000
1356.618129,1.293443,851003.000000,43300.000000
1360.014478,1.295956,849616.000000,42980.000000
1363.406506,1.300296,847186.000000,42431.000000
1366.794212,1.304995,845120.000000,41872.000000
1370.177596,1.308349,844187.000000,41504.000000
1374.682052,1.311646,841418.000000,41055.000000
1378.055353,1.315490,837589.000000,40508.000000
1381.424332,1.318216,835101.000000,40135.000000
1384.788989,1.318878,832957.000000,39971.000000
1388.149324,1.320414,830471.000000,39711.000000
1391.505338,1.322730,826502.000000,39311.000000
1394.857030,1.321682,822727.000000,39226.000000
1398.204401,1.322310,819381.000000,39010.000000
1401.547450,1.322808,815212.000000,38767.000000
1404.886177,1.322616,810816.000000,38575.000000
1408.220583,1.323101,807007.000000,38351.000000
1411.550667,1.325126,803845.000000,38023.000000
1414.876429,1.323959,800571.000000,37970.000000
1419.304056,1.323456,795411.000000,37769.000000
1422.619735,1.324017,791863.000000,37552.000000
1425.931092,1.324931,789812.000000,37376.000000
1429.238127,1.325112,787498.000000,37251.000000
1432.540841,1.324583,784703.000000,37164.000000
1435.839233,1.323518,781539.000000,37105.000000
1439.133303,1.325098,779314.000000,36865.000000
1442.423052,1.325585,776294.000000,36681.000000
1445.708479,1.324326,773371.000000,36649.000000
1448.989585,1.325265,769695.000000,36396.000000
1452.266369,1.325732,767073.000000,36233.000000
1455.538831,1.326163,762960.000000,36003.000000
1459.895391,1.326843,757300.000000,35680.000000
1463.157769,1.325831,753568.000000,35587.000000
1466.415826,1.327347,749404.000000,35267.000000
1469.669561,1.327151,743755.000000,35017.000000
1472.918975,1.328422,738352.000000,34661.000000
1476.164067,1.328109,733201.000000,34444.000000
1479.404837,1.327534,727341.000000,34214.000000
1482.641285,1.329292,722073.000000,33829.000000
1485.873412,1.328030,716423.000000,33662.000000
1489.101218,1.329717,710602.000000,33259.000000
1492.324701,1.330455,704918.000000,32937.000000
1495.543863,1.331937,699704.000000,32582.000000
1498.758704,1.331381,694048.000000,32360.000000
1503.038435,1.332174,685926.000000,31923.000000
1506.243191,1.332189,680148.000000,31653.000000
1509.443626,1.335078,674608.000000,31187.000000
1512.639740,1.335987,668544.000000,30842.000000
1515.831531,1.335512,662594.000000,30601.000000
1519.019001,1.335609,656483.000000,30312.000000
1522.202150,1.337590,650629.000000,29905.000000
1525.380976,1.339282,645306.000000,29545.000000
1528.555481,1.339281,639735.000000,29290.000000
1531.725665,1.342710,634020.000000,28800.000000
1534.891527,1.340690,627659.000000,28644.000000
1538.053067,1.340645,622269.000000,28401.000000
1542.261731,1.341517,615200.000000,28022.000000
1545.413188,1.343056,609827.000000,27679.000000
1548.560322,1.346568,603717.000000,27181.000000
1551.703135,1.345062,598019.000000,27018.000000
1554.841627,1.345667,592181.000000,26717.000000
1557.975797,1.347295,586908.000000,26380.000000
1561.105645,1.349727,581634.000000,25997.000000
1564.231171,1.346840,575359.000000,25888.000000
1567.352376,1.348836,569413.000000,25503.000000
1570.469260,1.352037,564381.000000,25092.000000
1573.581821,1.350280,559167.000000,24961.000000
1576.690061,1.352154,552834.000000,24572.000000
1579.793979,1.349156,545902.000000,24432.000000
1583.925815,1.351805,538160.000000,23939.000000
1587.019649,1.351475,531798.000000,23674.000000
1590.109162,1.350871,525069.000000,23407.000000
1593.194353,1.349719,517012.000000,23109.000000
1596.275223,1.347500,509702.000000,22899.000000
1599.351771,1.344468,501846.000000,22704.000000
1602.423997,1.347193,494194.000000,22218.000000
1605.491902,1.344930,486692.000000,21995.000000
1608.555485,1.343969,478573.000000,21676.000000
1611.614747,1.343234,470336.000000,21339.000000
1614.669686,1.342123,461923.000000,21011.000000
1617.720304,1.341978,453440.000000,20632.000000
1621.781073,1.340840,442060.000000,20167.000000
1624.821607,1.339803,433505.000000,19824.000000
1627.857820,1.336165,424533.000000,19577.000000
1630.889711,1.336984,415861.000000,19141.000000
1633.917280,1.334060,406856.000000,18853.000000
1636.940528,1.333490,398326.000000,18482.000000
1639.959454,1.330446,388738.000000,18164.000000
1642.974059,1.327601,379099.000000,17830.000000
1645.984342,1.323616,369021.000000,17516.000000
1648.990303,1.321003,358096.000000,17100.000000
1651.991942,1.319703,345876.000000,16566.000000
1654.989260,1.312348,330871.000000,16118.000000
1657.982257,1.307615,313599.000000,15444.000000
1661.966196,1.288559,285561.000000,14694.000000
1664.949108,1.271611,259848.000000,13903.000000
1667.927699,1.258005,231057.000000,12756.000000
1670.901969,1.238517,201989.000000,11663.000000
1673.871916,1.228437,173597.000000,10259.000000
1676.837542,1.213691,147503.000000,9018.000000
1679.798846,1.210405,124801.000000,7688.000000
1682.755829,1.213325,105329.000000,6445.000000
1685.708490,1.218444,89413.000000,5407.000000
1688.656830,1.230392,76575.000000,4505.000000
1691.600847,1.245777,66181.000000,3758.000000
1694.540543,1.250412,57404.000000,3225.000000
1698.453416,1.249288,47491.000000,2675.000000
1701.383028,1.264716,41703.000000,2267.000000
