Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 22:3:56,,
Header Version:,1,,
System Temp (C):,35.88,,
Detector Temp (C):,31.91,,
Humidity (%):,22.63,,
Lamp PD:,3749,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.673,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.925050,72949.000000,8669.000000
905.910380,0.929341,86574.000000,10187.000000
909.838291,0.931135,94937.000000,11125.000000
913.761880,0.939441,104155.000000,11974.000000
917.681147,0.944884,115457.000000,13108.000000
921.596093,0.952279,129508.000000,14455.000000
925.506717,0.959907,146775.000000,16097.000000
929.413019,0.970905,166260.000000,17778.000000
933.315000,0.972773,185226.000000,19721.000000
937.212659,0.975264,202728.000000,21461.000000
941.105996,0.978695,218970.000000,22998.000000
944.995012,0.983516,234123.000000,24318.000000
948.879706,0.988666,248597.000000,25517.000000
954.052576,1.005210,267996.000000,26480.000000
957.927186,1.018629,282408.000000,27055.000000
961.797475,1.027899,296402.000000,27796.000000
965.663442,1.037163,310342.000000,28489.000000
969.525087,1.045221,323067.000000,29112.000000
973.382411,1.052411,335535.000000,29739.000000
977.235413,1.056716,347127.000000,30463.000000
981.084093,1.063364,357110.000000,30863.000000
984.928452,1.070969,365762.000000,31062.000000
988.768490,1.073024,373247.000000,31548.000000
992.604205,1.078055,378804.000000,31649.000000
996.435599,1.081139,382649.000000,31744.000000
1000.262671,1.082387,385370.000000,31878.000000
1005.358712,1.088210,387154.000000,31599.000000
1009.175700,1.088628,387134.000000,31567.000000
1012.988367,1.088875,386471.000000,31495.000000
1016.796712,1.087480,385219.000000,31494.000000
1020.600736,1.087281,383747.000000,31388.000000
1024.400438,1.084827,382119.000000,31432.000000
1028.195818,1.082152,379870.000000,31440.000000
1031.986877,1.085006,377704.000000,31056.000000
1035.773614,1.083632,374438.000000,30885.000000
1039.556029,1.083748,370584.000000,30559.000000
1043.334123,1.085595,367475.000000,30174.000000
1047.107895,1.087731,364330.000000,29769.000000
1052.132869,1.085710,359009.000000,29471.000000
1055.896557,1.084699,356290.000000,29316.000000
1059.655924,1.085308,354149.000000,29099.000000
1063.410969,1.085151,351795.000000,28916.000000
1067.161692,1.084522,349463.000000,28766.000000
1070.908094,1.083172,347652.000000,28706.000000
1074.650174,1.084975,346034.000000,28454.000000
1078.387933,1.083611,344815.000000,28443.000000
1082.121369,1.082897,343958.000000,28419.000000
1085.850485,1.080199,343127.000000,28527.000000
1089.575278,1.081622,343191.000000,28439.000000
1093.295750,1.080576,344015.000000,28576.000000
1097.011900,1.079656,344296.000000,28660.000000
1101.960045,1.078177,345137.000000,28828.000000
1105.666111,1.079122,346153.000000,28850.000000
1109.367856,1.079097,346661.000000,28894.000000
1113.065279,1.079507,347841.000000,28965.000000
1116.758381,1.081374,348929.000000,28931.000000
1120.447161,1.085851,350595.000000,28771.000000
1124.131619,1.094944,352040.000000,28291.000000
1127.811756,1.105042,353928.000000,27789.000000
1131.487571,1.125370,355980.000000,26672.000000
1135.159064,1.145699,357920.000000,25591.000000
1138.826236,1.164992,360493.000000,24655.000000
1142.489086,1.179549,363800.000000,24061.000000
1147.366164,1.194580,368112.000000,23518.000000
1151.018930,1.205535,371448.000000,23140.000000
1154.667374,1.216957,375777.000000,22802.000000
1158.311497,1.227265,380111.000000,22524.000000
1161.951299,1.237668,384988.000000,22273.000000
1165.586779,1.245637,389793.000000,22141.000000
1169.217937,1.252617,395608.000000,22113.000000
1172.844773,1.256929,401940.000000,22245.000000
1176.467288,1.258425,408458.000000,22528.000000
1180.085481,1.259913,415500.000000,22838.000000
1183.699353,1.259164,423175.000000,23300.000000
1187.308903,1.256902,431167.000000,23864.000000
1190.914131,1.252282,439458.000000,24583.000000
1195.714379,1.247088,450819.000000,25522.000000
1199.309524,1.244723,460669.000000,26222.000000
1202.900347,1.245448,471029.000000,26767.000000
1206.486848,1.245922,480916.000000,27299.000000
1210.069027,1.244405,491861.000000,28018.000000
1213.646885,1.240844,503550.000000,28920.000000
1217.220421,1.237409,515976.000000,29869.000000
1220.789636,1.230855,526727.000000,30955.000000
1224.354529,1.221517,537290.000000,32262.000000
1227.915100,1.215874,549160.000000,33406.000000
1231.471350,1.207662,561812.000000,34828.000000
1235.023278,1.199958,574865.000000,36275.000000
1239.752460,1.193449,589855.000000,37783.000000
1243.294304,1.189989,602768.000000,38919.000000
1246.831827,1.185553,616327.000000,40203.000000
1250.365028,1.183633,628780.000000,41197.000000
1253.893907,1.181209,640245.000000,42183.000000
1257.418465,1.179965,652792.000000,43133.000000
1260.938701,1.180529,665945.000000,43945.000000
1264.454615,1.179283,678287.000000,44888.000000
1267.966208,1.179506,690806.000000,45693.000000
1271.473479,1.178588,704539.000000,46700.000000
1274.976429,1.180495,718686.000000,47429.000000
1278.475056,1.181183,732831.000000,48286.000000
