Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:48:7,,
Header Version:,1,,
System Temp (C):,34.67,,
Detector Temp (C):,30.04,,
Humidity (%):,26.71,,
Lamp PD:,3750,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.672,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.921856,72949.000000,8733.000000
905.910380,0.923329,86574.000000,10329.000000
909.838291,0.926785,94937.000000,11237.000000
913.761880,0.931676,104155.000000,12190.000000
917.681147,0.938830,115457.000000,13292.000000
921.596093,0.950779,129508.000000,14505.000000
925.506717,0.960042,146775.000000,16092.000000
929.413019,0.973379,166260.000000,17677.000000
933.315000,0.981245,185226.000000,19340.000000
937.212659,0.987162,202728.000000,20881.000000
941.105996,0.996287,218970.000000,22085.000000
944.995012,1.007169,234123.000000,23029.000000
948.879706,1.019412,248597.000000,23773.000000
954.052576,1.047881,267996.000000,24002.000000
957.927186,1.066004,282408.000000,24259.000000
961.797475,1.080928,296402.000000,24601.000000
965.663442,1.091752,310342.000000,25124.000000
969.525087,1.099055,323067.000000,25718.000000
973.382411,1.104545,335535.000000,26375.000000
977.235413,1.109865,347127.000000,26954.000000
981.084093,1.114101,357110.000000,27460.000000
984.928452,1.116149,365762.000000,27993.000000
988.768490,1.116725,373247.000000,28528.000000
992.604205,1.118073,378804.000000,28863.000000
996.435599,1.117656,382649.000000,29184.000000
1000.262671,1.116424,385370.000000,29475.000000
1005.358712,1.116284,387154.000000,29621.000000
1009.175700,1.112408,387134.000000,29885.000000
1012.988367,1.109056,386471.000000,30065.000000
1016.796712,1.106305,385219.000000,30158.000000
1020.600736,1.102889,383747.000000,30280.000000
1024.400438,1.099654,382119.000000,30377.000000
1028.195818,1.096404,379870.000000,30425.000000
1031.986877,1.092596,377704.000000,30518.000000
1035.773614,1.092942,374438.000000,30230.000000
1039.556029,1.091765,370584.000000,30000.000000
1043.334123,1.090706,367475.000000,29821.000000
1047.107895,1.089251,364330.000000,29665.000000
1052.132869,1.085401,359009.000000,29492.000000
1055.896557,1.084669,356290.000000,29318.000000
1059.655924,1.086145,354149.000000,29043.000000
1063.410969,1.083248,351795.000000,29043.000000
1067.161692,1.083285,349463.000000,28848.000000
1070.908094,1.084445,347652.000000,28622.000000
1074.650174,1.085037,346034.000000,28450.000000
1078.387933,1.085324,344815.000000,28331.000000
1082.121369,1.087305,343958.000000,28132.000000
1085.850485,1.087801,343127.000000,28032.000000
1089.575278,1.088300,343191.000000,28005.000000
1093.295750,1.091440,344015.000000,27870.000000
1097.011900,1.091764,344296.000000,27872.000000
1101.960045,1.094134,345137.000000,27788.000000
1105.666111,1.096115,346153.000000,27743.000000
1109.367856,1.098603,346661.000000,27625.000000
1113.065279,1.099843,347841.000000,27640.000000
1116.758381,1.102127,348929.000000,27581.000000
1120.447161,1.107928,350595.000000,27345.000000
1124.131619,1.118927,352040.000000,26771.000000
1127.811756,1.131792,353928.000000,26129.000000
1131.487571,1.150749,355980.000000,25158.000000
1135.159064,1.172472,357920.000000,24061.000000
1138.826236,1.190866,360493.000000,23229.000000
1142.489086,1.212344,363800.000000,22311.000000
1147.366164,1.234978,368112.000000,21429.000000
1151.018930,1.247513,371448.000000,21008.000000
1154.667374,1.259044,375777.000000,20696.000000
1158.311497,1.266908,380111.000000,20559.000000
1161.951299,1.269918,384988.000000,20679.000000
1165.586779,1.272291,389793.000000,20823.000000
1169.217937,1.272777,395608.000000,21110.000000
1172.844773,1.269848,401940.000000,21593.000000
1176.467288,1.268310,408458.000000,22021.000000
1180.085481,1.267277,415500.000000,22454.000000
1183.699353,1.263247,423175.000000,23082.000000
1187.308903,1.259970,431167.000000,23696.000000
1190.914131,1.259174,439458.000000,24196.000000
1195.714379,1.256392,450819.000000,24981.000000
1199.309524,1.256440,460669.000000,25524.000000
1202.900347,1.259999,471029.000000,25885.000000
1206.486848,1.259381,480916.000000,26466.000000
1210.069027,1.259852,491861.000000,27039.000000
1213.646885,1.260505,503550.000000,27640.000000
1217.220421,1.257800,515976.000000,28499.000000
1220.789636,1.254199,526727.000000,29335.000000
1224.354529,1.250849,537290.000000,30155.000000
1227.915100,1.244918,549160.000000,31245.000000
1231.471350,1.239784,561812.000000,32345.000000
1235.023278,1.237239,574865.000000,33291.000000
1239.752460,1.234642,589855.000000,34364.000000
1243.294304,1.232499,602768.000000,35290.000000
1246.831827,1.232075,616327.000000,36119.000000
1250.365028,1.229382,628780.000000,37078.000000
1253.893907,1.229015,640245.000000,37786.000000
1257.418465,1.230003,652792.000000,38439.000000
1260.938701,1.230352,665945.000000,39182.000000
1264.454615,1.231520,678287.000000,39801.000000
1267.966208,1.233340,690806.000000,40366.000000
1271.473479,1.235588,704539.000000,40956.000000
1274.976429,1.237853,718686.000000,41561.000000
1278.475056,1.239475,732831.000000,42221.000000
1281.969363,1.243184,745575.000000,42590.000000
1286.621715,1.251061,764267.000000,42873.000000
1290.105938,1.256458,774383.000000,42904.000000
1293.585838,1.262282,783466.000000,42829.000000
1297.061417,1.268730,792419.000000,42680.000000
1300.532675,1.273982,802228.000000,42689.000000
1303.999611,1.281170,810668.000000,42430.000000
1307.462225,1.289104,816703.000000,41972.000000
1310.920518,1.297526,823212.000000,41494.000000
1314.374489,1.306625,830491.000000,40993.000000
1317.824138,1.315120,836234.000000,40477.000000
1321.269466,1.322767,840134.000000,39956.000000
1324.710472,1.333042,843025.000000,39156.000000
1328.147156,1.340287,846348.000000,38660.000000
1332.722679,1.349131,850466.000000,38065.000000
1336.149280,1.357072,851778.000000,37433.000000
1339.571559,1.364057,852802.000000,36880.000000
1342.989516,1.368489,853887.000000,36552.000000
1346.403152,1.373208,855068.000000,36207.000000
1349.812466,1.374774,853771.000000,36022.000000
1353.217459,1.379201,852103.000000,35587.000000
1356.618129,1.381382,851003.000000,35363.000000
1360.014478,1.382483,849616.000000,35216.000000
1363.406506,1.384967,847186.000000,34915.000000
1366.794212,1.386601,845120.000000,34699.000000
1370.177596,1.387790,844187.000000,34566.000000
1374.682052,1.388870,841418.000000,34367.000000
1378.055353,1.390774,837589.000000,34061.000000
1381.424332,1.392822,835101.000000,33800.000000
1384.788989,1.393534,832957.000000,33658.000000
1388.149324,1.394008,830471.000000,33521.000000
1391.505338,1.392433,826502.000000,33482.000000
1394.857030,1.392407,822727.000000,33331.000000
1398.204401,1.393645,819381.000000,33101.000000
1401.547450,1.392480,815212.000000,33021.000000
1404.886177,1.392823,810816.000000,32817.000000
1408.220583,1.392954,807007.000000,32653.000000
1411.550667,1.392755,803845.000000,32540.000000
1414.876429,1.391998,800571.000000,32464.000000
1419.304056,1.392399,795411.000000,32225.000000
1422.619735,1.393012,791863.000000,32036.000000
1425.931092,1.392564,789812.000000,31986.000000
1429.238127,1.391711,787498.000000,31955.000000
1432.540841,1.393139,784703.000000,31737.000000
1435.839233,1.390483,781539.000000,31803.000000
1439.133303,1.390735,779314.000000,31694.000000
1442.423052,1.391992,776294.000000,31480.000000
1445.708479,1.391486,773371.000000,31398.000000
1448.989585,1.391024,769695.000000,31282.000000
1452.266369,1.391365,767073.000000,31151.000000
1455.538831,1.391659,762960.000000,30963.000000
1459.895391,1.391734,757300.000000,30728.000000
1463.157769,1.391287,753568.000000,30608.000000
1466.415826,1.392672,749404.000000,30342.000000
1469.669561,1.392661,743755.000000,30114.000000
1472.918975,1.392549,738352.000000,29903.000000
1476.164067,1.393096,733201.000000,29657.000000
1479.404837,1.392535,727341.000000,29458.000000
1482.641285,1.392544,722073.000000,29244.000000
1485.873412,1.393311,716423.000000,28964.000000
1489.101218,1.392490,710602.000000,28783.000000
1492.324701,1.395846,704918.000000,28333.000000
1495.543863,1.393957,699704.000000,28246.000000
1498.758704,1.395599,694048.000000,27912.000000
1503.038435,1.394739,685926.000000,27640.000000
1506.243191,1.395360,680148.000000,27368.000000
1509.443626,1.396868,674608.000000,27051.000000
1512.639740,1.395636,668544.000000,26884.000000
1515.831531,1.395143,662594.000000,26675.000000
1519.019001,1.398359,656483.000000,26234.000000
1522.202150,1.398678,650629.000000,25981.000000
1525.380976,1.400306,645306.000000,25672.000000
1528.555481,1.399954,639735.000000,25471.000000
1531.725665,1.401962,634020.000000,25127.000000
1534.891527,1.401106,627659.000000,24924.000000
1538.053067,1.403025,622269.000000,24601.000000
1542.261731,1.402232,615200.000000,24366.000000
1545.413188,1.401499,609827.000000,24194.000000
1548.560322,1.404987,603717.000000,23760.000000
1551.703135,1.404724,598019.000000,23550.000000
1554.841627,1.406854,592181.000000,23206.000000
1557.975797,1.405824,586908.000000,23054.000000
1561.105645,1.406201,581634.000000,22827.000000
1564.231171,1.407313,575359.000000,22523.000000
1567.352376,1.408762,569413.000000,22216.000000
1570.469260,1.406375,564381.000000,22141.000000
1573.581821,1.408309,559167.000000,21839.000000
1576.690061,1.407358,552834.000000,21639.000000
1579.793979,1.407371,545902.000000,21367.000000
1583.925815,1.408692,538160.000000,21000.000000
1587.019649,1.407892,531798.000000,20790.000000
1590.109162,1.406476,525069.000000,20594.000000
1593.194353,1.406561,517012.000000,20274.000000
1596.275223,1.404445,509702.000000,20085.000000
1599.351771,1.404037,501846.000000,19794.000000
1602.423997,1.405134,494194.000000,19443.000000
1605.491902,1.399094,486692.000000,19416.000000
1608.555485,1.400898,478573.000000,19013.000000
1611.614747,1.401334,470336.000000,18667.000000
1614.669686,1.401265,461923.000000,18336.000000
1617.720304,1.398673,453440.000000,18107.000000
1621.781073,1.397483,442060.000000,17701.000000
1624.821607,1.394826,433505.000000,17465.000000
1627.857820,1.390795,424533.000000,17263.000000
1630.889711,1.392245,415861.000000,16854.000000
1633.917280,1.388548,406856.000000,16630.000000
1636.940528,1.386349,398326.000000,16364.000000
1639.959454,1.386325,388738.000000,15971.000000
1642.974059,1.382881,379099.000000,15699.000000
1645.984342,1.379812,369021.000000,15390.000000
1648.990303,1.374448,358096.000000,15120.000000
1651.991942,1.371337,345876.000000,14709.000000
1654.989260,1.363564,330871.000000,14325.000000
1657.982257,1.348204,313599.000000,14066.000000
1661.966196,1.329632,285561.000000,13368.000000
1664.949108,1.303961,259848.000000,12905.000000
1667.927699,1.284248,231057.000000,12008.000000
1670.901969,1.249453,201989.000000,11373.000000
1673.871916,1.226621,173597.000000,10302.000000
1676.837542,1.206811,147503.000000,9162.000000
1679.798846,1.186502,124801.000000,8123.000000
1682.755829,1.182003,105329.000000,6927.000000
1685.708490,1.182763,89413.000000,5870.000000
1688.656830,1.194157,76575.000000,4897.000000
1691.600847,1.194188,66181.000000,4232.000000
1694.540543,1.216864,57404.000000,3484.000000
1698.453416,1.227133,47491.000000,2815.000000
1701.383028,1.233668,41703.000000,2435.000000
