Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:40:3,,
Header Version:,1,,
System Temp (C):,33.31,,
Detector Temp (C):,28.79,,
Humidity (%):,29.63,,
Lamp PD:,3752,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.674,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.924750,72949.000000,8675.000000
905.910380,0.931178,86574.000000,10144.000000
909.838291,0.932582,94937.000000,11088.000000
913.761880,0.935182,104155.000000,12092.000000
917.681147,0.944586,115457.000000,13117.000000
921.596093,0.956020,129508.000000,14331.000000
925.506717,0.961746,146775.000000,16029.000000
929.413019,0.972398,166260.000000,17717.000000
933.315000,0.980348,185226.000000,19380.000000
937.212659,0.987100,202728.000000,20884.000000
941.105996,0.991652,218970.000000,22322.000000
944.995012,1.000692,234123.000000,23375.000000
948.879706,1.012273,248597.000000,24167.000000
954.052576,1.035660,267996.000000,24687.000000
957.927186,1.051688,282408.000000,25072.000000
961.797475,1.066176,296402.000000,25451.000000
965.663442,1.076166,310342.000000,26042.000000
969.525087,1.081790,323067.000000,26761.000000
973.382411,1.092240,335535.000000,27133.000000
977.235413,1.099265,347127.000000,27620.000000
981.084093,1.101860,357110.000000,28245.000000
984.928452,1.107076,365762.000000,28584.000000
988.768490,1.108059,373247.000000,29103.000000
992.604205,1.111177,378804.000000,29325.000000
996.435599,1.112008,382649.000000,29566.000000
1000.262671,1.112975,385370.000000,29710.000000
1005.358712,1.112779,387154.000000,29861.000000
1009.175700,1.112655,387134.000000,29868.000000
1012.988367,1.108983,386471.000000,30070.000000
1016.796712,1.107257,385219.000000,30092.000000
1020.600736,1.105046,383747.000000,30130.000000
1024.400438,1.101689,382119.000000,30235.000000
1028.195818,1.099111,379870.000000,30236.000000
1031.986877,1.097490,377704.000000,30176.000000
1035.773614,1.098377,374438.000000,29854.000000
1039.556029,1.096203,370584.000000,29695.000000
1043.334123,1.093877,367475.000000,29604.000000
1047.107895,1.094954,364330.000000,29278.000000
1052.132869,1.090601,359009.000000,29141.000000
1055.896557,1.091522,356290.000000,28859.000000
1059.655924,1.089944,354149.000000,28790.000000
1063.410969,1.089301,351795.000000,28641.000000
1067.161692,1.089319,349463.000000,28450.000000
1070.908094,1.087383,347652.000000,28429.000000
1074.650174,1.090073,346034.000000,28122.000000
1078.387933,1.089390,344815.000000,28067.000000
1082.121369,1.088232,343958.000000,28072.000000
1085.850485,1.089571,343127.000000,27918.000000
1089.575278,1.089978,343191.000000,27897.000000
1093.295750,1.090460,344015.000000,27933.000000
1097.011900,1.090535,344296.000000,27951.000000
1101.960045,1.092559,345137.000000,27889.000000
1105.666111,1.093866,346153.000000,27887.000000
1109.367856,1.096001,346661.000000,27791.000000
1113.065279,1.096057,347841.000000,27882.000000
1116.758381,1.097382,348929.000000,27884.000000
1120.447161,1.102044,350595.000000,27718.000000
1124.131619,1.112135,352040.000000,27193.000000
1127.811756,1.124867,353928.000000,26549.000000
1131.487571,1.142745,355980.000000,25626.000000
1135.159064,1.162780,357920.000000,24604.000000
1138.826236,1.185367,360493.000000,23525.000000
1142.489086,1.203442,363800.000000,22773.000000
1147.366164,1.221273,368112.000000,22116.000000
1151.018930,1.234340,371448.000000,21655.000000
1154.667374,1.246897,375777.000000,21283.000000
1158.311497,1.254744,380111.000000,21143.000000
1161.951299,1.262278,384988.000000,21046.000000
1165.586779,1.264437,389793.000000,21203.000000
1169.217937,1.265393,395608.000000,21472.000000
1172.844773,1.266203,401940.000000,21775.000000
1176.467288,1.266244,408458.000000,22126.000000
1180.085481,1.266755,415500.000000,22481.000000
1183.699353,1.266533,423175.000000,22908.000000
1187.308903,1.262599,431167.000000,23553.000000
1190.914131,1.258295,439458.000000,24245.000000
1195.714379,1.255715,450819.000000,25020.000000
1199.309524,1.255726,460669.000000,25566.000000
1202.900347,1.256957,471029.000000,26067.000000
1206.486848,1.257057,480916.000000,26608.000000
1210.069027,1.258153,491861.000000,27145.000000
1213.646885,1.257171,503550.000000,27853.000000
1217.220421,1.253871,515976.000000,28758.000000
1220.789636,1.249034,526727.000000,29686.000000
1224.354529,1.242547,537290.000000,30737.000000
1227.915100,1.238694,549160.000000,31696.000000
1231.471350,1.232237,561812.000000,32912.000000
1235.023278,1.228995,574865.000000,33929.000000
1239.752460,1.225277,589855.000000,35113.000000
1243.294304,1.222811,602768.000000,36086.000000
1246.831827,1.220847,616327.000000,37065.000000
1250.365028,1.218555,628780.000000,38014.000000
1253.893907,1.218456,640245.000000,38716.000000
1257.418465,1.218497,652792.000000,39471.000000
1260.938701,1.219277,665945.000000,40194.000000
1264.454615,1.219626,678287.000000,40906.000000
1267.966208,1.221716,690806.000000,41461.000000
1271.473479,1.222521,704539.000000,42207.000000
1274.976429,1.223111,718686.000000,42996.000000
1278.475056,1.226076,732831.000000,43544.000000
1281.969363,1.229167,745575.000000,43987.000000
1286.621715,1.234514,764267.000000,44538.000000
1290.105938,1.238571,774383.000000,44708.000000
1293.585838,1.243567,783466.000000,44715.000000
1297.061417,1.249562,792419.000000,44606.000000
1300.532675,1.255265,802228.000000,44569.000000
1303.999611,1.262126,810668.000000,44332.000000
1307.462225,1.269105,816703.000000,43950.000000
1310.920518,1.277892,823212.000000,43413.000000
1314.374489,1.286058,830491.000000,42981.000000
1317.824138,1.294685,836234.000000,42427.000000
1321.269466,1.305704,840134.000000,41557.000000
1324.710472,1.314712,843025.000000,40844.000000
1328.147156,1.322826,846348.000000,40246.000000
1332.722679,1.334778,850466.000000,39344.000000
1336.149280,1.342593,851778.000000,38702.000000
1339.571559,1.351007,852802.000000,38005.000000
1342.989516,1.357960,853887.000000,37449.000000
1346.403152,1.364433,855068.000000,36946.000000
1349.812466,1.367848,853771.000000,36601.000000
1353.217459,1.373226,852103.000000,36080.000000
1356.618129,1.375587,851003.000000,35838.000000
1360.014478,1.377382,849616.000000,35632.000000
1363.406506,1.379049,847186.000000,35394.000000
1366.794212,1.381797,845120.000000,35085.000000
1370.177596,1.384111,844187.000000,34860.000000
1374.682052,1.386199,841418.000000,34579.000000
1378.055353,1.387674,837589.000000,34305.000000
1381.424332,1.389469,835101.000000,34062.000000
1384.788989,1.390692,832957.000000,33879.000000
1388.149324,1.391669,830471.000000,33702.000000
1391.505338,1.392290,826502.000000,33493.000000
1394.857030,1.392564,822727.000000,33319.000000
1398.204401,1.391407,819381.000000,33272.000000
1401.547450,1.390957,815212.000000,33137.000000
1404.886177,1.391199,810816.000000,32940.000000
1408.220583,1.391746,807007.000000,32744.000000
1411.550667,1.391688,803845.000000,32620.000000
1414.876429,1.391303,800571.000000,32516.000000
1419.304056,1.391026,795411.000000,32327.000000
1422.619735,1.391847,791863.000000,32122.000000
1425.931092,1.391818,789812.000000,32041.000000
1429.238127,1.391847,787498.000000,31945.000000
