Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:48:16,,
Header Version:,1,,
System Temp (C):,34.75,,
Detector Temp (C):,30.02,,
Humidity (%):,26.61,,
Lamp PD:,3751,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.671,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.920813,72949.000000,8754.000000
905.910380,0.925606,86574.000000,10275.000000
909.838291,0.925280,94937.000000,11276.000000
913.761880,0.930787,104155.000000,12215.000000
917.681147,0.942373,115457.000000,13184.000000
921.596093,0.951228,129508.000000,14490.000000
925.506717,0.963783,146775.000000,15954.000000
929.413019,0.975053,166260.000000,17609.000000
933.315000,0.979788,185226.000000,19405.000000
937.212659,0.986020,202728.000000,20936.000000
941.105996,0.996307,218970.000000,22084.000000
944.995012,1.007546,234123.000000,23009.000000
948.879706,1.021169,248597.000000,23677.000000
954.052576,1.047212,267996.000000,24039.000000
957.927186,1.064985,282408.000000,24316.000000
961.797475,1.081176,296402.000000,24587.000000
965.663442,1.091044,310342.000000,25165.000000
969.525087,1.099359,323067.000000,25700.000000
973.382411,1.105947,335535.000000,26290.000000
977.235413,1.111205,347127.000000,26871.000000
981.084093,1.115162,357110.000000,27393.000000
984.928452,1.117252,365762.000000,27922.000000
988.768490,1.116771,373247.000000,28525.000000
992.604205,1.119429,378804.000000,28773.000000
996.435599,1.118624,382649.000000,29119.000000
1000.262671,1.116955,385370.000000,29439.000000
1005.358712,1.114484,387154.000000,29744.000000
1009.175700,1.113805,387134.000000,29789.000000
1012.988367,1.109113,386471.000000,30061.000000
1016.796712,1.105816,385219.000000,30192.000000
1020.600736,1.103334,383747.000000,30249.000000
1024.400438,1.100111,382119.000000,30345.000000
1028.195818,1.096404,379870.000000,30425.000000
1031.986877,1.093165,377704.000000,30478.000000
1035.773614,1.092626,374438.000000,30252.000000
1039.556029,1.091433,370584.000000,30023.000000
1043.334123,1.090939,367475.000000,29805.000000
1047.107895,1.089910,364330.000000,29620.000000
1052.132869,1.086138,359009.000000,29442.000000
1055.896557,1.085886,356290.000000,29236.000000
1059.655924,1.084264,354149.000000,29169.000000
1063.410969,1.085181,351795.000000,28914.000000
1067.161692,1.083045,349463.000000,28864.000000
1070.908094,1.084764,347652.000000,28601.000000
1074.650174,1.084167,346034.000000,28507.000000
1078.387933,1.085493,344815.000000,28320.000000
1082.121369,1.086688,343958.000000,28172.000000
1085.850485,1.087429,343127.000000,28056.000000
1089.575278,1.087603,343191.000000,28050.000000
1093.295750,1.091409,344015.000000,27872.000000
1097.011900,1.092403,344296.000000,27831.000000
1101.960045,1.093307,345137.000000,27841.000000
1105.666111,1.096005,346153.000000,27750.000000
1109.367856,1.096971,346661.000000,27729.000000
1113.065279,1.099121,347841.000000,27686.000000
1116.758381,1.104622,348929.000000,27423.000000
1120.447161,1.108277,350595.000000,27323.000000
1124.131619,1.119902,352040.000000,26711.000000
1127.811756,1.131427,353928.000000,26151.000000
1131.487571,1.149233,355980.000000,25246.000000
1135.159064,1.172148,357920.000000,24079.000000
1138.826236,1.193379,360493.000000,23095.000000
1142.489086,1.213123,363800.000000,22271.000000
1147.366164,1.234634,368112.000000,21446.000000
1151.018930,1.248610,371448.000000,20955.000000
1154.667374,1.261105,375777.000000,20598.000000
1158.311497,1.266655,380111.000000,20571.000000
1161.951299,1.271728,384988.000000,20593.000000
1165.586779,1.272562,389793.000000,20810.000000
1169.217937,1.273333,395608.000000,21083.000000
1172.844773,1.270714,401940.000000,21550.000000
1176.467288,1.270386,408458.000000,21916.000000
1180.085481,1.268439,415500.000000,22394.000000
1183.699353,1.264113,423175.000000,23036.000000
1187.308903,1.261623,431167.000000,23606.000000
1190.914131,1.256704,439458.000000,24334.000000
1195.714379,1.257768,450819.000000,24902.000000
1199.309524,1.258709,460669.000000,25391.000000
1202.900347,1.259111,471029.000000,25938.000000
1206.486848,1.260317,480916.000000,26409.000000
1210.069027,1.262478,491861.000000,26876.000000
1213.646885,1.261763,503550.000000,27560.000000
1217.220421,1.258669,515976.000000,28442.000000
1220.789636,1.253268,526727.000000,29398.000000
1224.354529,1.250993,537290.000000,30145.000000
1227.915100,1.245516,549160.000000,31202.000000
1231.471350,1.239757,561812.000000,32347.000000
1235.023278,1.238075,574865.000000,33227.000000
1239.752460,1.235464,589855.000000,34299.000000
1243.294304,1.233299,602768.000000,35225.000000
1246.831827,1.231403,616327.000000,36175.000000
1250.365028,1.229886,628780.000000,37035.000000
1253.893907,1.230189,640245.000000,37684.000000
1257.418465,1.231417,652792.000000,38314.000000
1260.938701,1.230984,665945.000000,39125.000000
1264.454615,1.231530,678287.000000,39800.000000
1267.966208,1.233954,690806.000000,40309.000000
1271.473479,1.235842,704539.000000,40932.000000
1274.976429,1.237717,718686.000000,41574.000000
1278.475056,1.241104,732831.000000,42063.000000
1281.969363,1.245802,745575.000000,42334.000000
1286.621715,1.251720,764267.000000,42808.000000
1290.105938,1.256458,774383.000000,42904.000000
1293.585838,1.262749,783466.000000,42783.000000
1297.061417,1.268486,792419.000000,42704.000000
1300.532675,1.275102,802228.000000,42579.000000
1303.999611,1.281826,810668.000000,42366.000000
1307.462225,1.290919,816703.000000,41797.000000
1310.920518,1.298532,823212.000000,41398.000000
1314.374489,1.306551,830491.000000,41000.000000
1317.824138,1.316000,836234.000000,40395.000000
1321.269466,1.324498,840134.000000,39797.000000
1324.710472,1.333087,843025.000000,39152.000000
1328.147156,1.342032,846348.000000,38505.000000
1332.722679,1.351098,850466.000000,37893.000000
1336.149280,1.357548,851778.000000,37392.000000
1339.571559,1.363716,852802.000000,36909.000000
1342.989516,1.369310,853887.000000,36483.000000
1346.403152,1.373124,855068.000000,36214.000000
1349.812466,1.377082,853771.000000,35831.000000
1353.217459,1.380508,852103.000000,35480.000000
1356.618129,1.381333,851003.000000,35367.000000
1360.014478,1.384015,849616.000000,35092.000000
1363.406506,1.386949,847186.000000,34756.000000
1366.794212,1.387554,845120.000000,34623.000000
1370.177596,1.388368,844187.000000,34520.000000
1374.682052,1.390986,841418.000000,34200.000000
1378.055353,1.392268,837589.000000,33944.000000
1381.424332,1.391642,835101.000000,33892.000000
1384.788989,1.393057,832957.000000,33695.000000
1388.149324,1.394228,830471.000000,33504.000000
1391.505338,1.395152,826502.000000,33273.000000
1394.857030,1.393138,822727.000000,33275.000000
1398.204401,1.394065,819381.000000,33069.000000
1401.547450,1.393864,815212.000000,32916.000000
1404.886177,1.395505,810816.000000,32615.000000
1408.220583,1.393500,807007.000000,32612.000000
1411.550667,1.393276,803845.000000,32501.000000
1414.876429,1.395099,800571.000000,32233.000000
1419.304056,1.392520,795411.000000,32216.000000
1422.619735,1.393595,791863.000000,31993.000000
1425.931092,1.393597,789812.000000,31910.000000
1429.238127,1.394670,787498.000000,31738.000000
1432.540841,1.393920,784703.000000,31680.000000
1435.839233,1.392783,781539.000000,31635.000000
1439.133303,1.393126,779314.000000,31520.000000
1442.423052,1.392958,776294.000000,31410.000000
1445.708479,1.391583,773371.000000,31391.000000
1448.989585,1.392011,769695.000000,31211.000000
1452.266369,1.391685,767073.000000,31128.000000
1455.538831,1.391841,762960.000000,30950.000000
1459.895391,1.392823,757300.000000,30651.000000
1463.157769,1.392737,753568.000000,30506.000000
1466.415826,1.393273,749404.000000,30300.000000
1469.669561,1.393441,743755.000000,30060.000000
1472.918975,1.392592,738352.000000,29900.000000
1476.164067,1.393330,733201.000000,29641.000000
1479.404837,1.393243,727341.000000,29410.000000
1482.641285,1.394599,722073.000000,29106.000000
1485.873412,1.393761,716423.000000,28934.000000
1489.101218,1.393200,710602.000000,28736.000000
1492.324701,1.394469,704918.000000,28423.000000
1495.543863,1.395837,699704.000000,28124.000000
1498.758704,1.395536,694048.000000,27916.000000
1503.038435,1.395069,685926.000000,27619.000000
1506.243191,1.394980,680148.000000,27392.000000
1509.443626,1.398847,674608.000000,26928.000000
1512.639740,1.397352,668544.000000,26778.000000
1515.831531,1.399364,662594.000000,26417.000000
1519.019001,1.399171,656483.000000,26185.000000
1522.202150,1.399950,650629.000000,25905.000000
1525.380976,1.400205,645306.000000,25678.000000
1528.555481,1.402108,639735.000000,25345.000000
1531.725665,1.403157,634020.000000,25058.000000
1534.891527,1.402887,627659.000000,24822.000000
1538.053067,1.403750,622269.000000,24560.000000
1542.261731,1.403428,615200.000000,24299.000000
1545.413188,1.402721,609827.000000,24126.000000
1548.560322,1.404001,603717.000000,23814.000000
1551.703135,1.405684,598019.000000,23498.000000
1554.841627,1.406948,592181.000000,23201.000000
1557.975797,1.406578,586908.000000,23014.000000
1561.105645,1.407115,581634.000000,22779.000000
1564.231171,1.407081,575359.000000,22535.000000
1567.352376,1.408683,569413.000000,22220.000000
1570.469260,1.410494,564381.000000,21932.000000
1573.581821,1.409763,559167.000000,21766.000000
1576.690061,1.410581,552834.000000,21479.000000
1579.793979,1.409899,545902.000000,21243.000000
1583.925815,1.410163,538160.000000,20929.000000
1587.019649,1.409609,531798.000000,20708.000000
1590.109162,1.408802,525069.000000,20484.000000
1593.194353,1.405427,517012.000000,20327.000000
1596.275223,1.406547,509702.000000,19988.000000
1599.351771,1.404542,501846.000000,19771.000000
1602.423997,1.403818,494194.000000,19502.000000
1605.491902,1.401472,486692.000000,19310.000000
1608.555485,1.403050,478573.000000,18919.000000
1611.614747,1.402662,470336.000000,18610.000000
1614.669686,1.399304,461923.000000,18419.000000
1617.720304,1.398721,453440.000000,18105.000000
1621.781073,1.397974,442060.000000,17681.000000
1624.821607,1.395921,433505.000000,17421.000000
1627.857820,1.393673,424533.000000,17149.000000
1630.889711,1.392761,415861.000000,16834.000000
1633.917280,1.391483,406856.000000,16518.000000
1636.940528,1.391770,398326.000000,16161.000000
1639.959454,1.388451,388738.000000,15893.000000
1642.974059,1.387022,379099.000000,15550.000000
1645.984342,1.380095,369021.000000,15380.000000
1648.990303,1.377272,358096.000000,15022.000000
1651.991942,1.372461,345876.000000,14671.000000
1654.989260,1.364019,330871.000000,14310.000000
1657.982257,1.356118,313599.000000,13812.000000
1661.966196,1.328659,285561.000000,13398.000000
1664.949108,1.308223,259848.000000,12779.000000
1667.927699,1.284502,231057.000000,12001.000000
1670.901969,1.256032,201989.000000,11202.000000
1673.871916,1.229285,173597.000000,10239.000000
1676.837542,1.204541,147503.000000,9210.000000
1679.798846,1.191719,124801.000000,8026.000000
1682.755829,1.182881,105329.000000,6913.000000
1685.708490,1.190752,89413.000000,5763.000000
1688.656830,1.192740,76575.000000,4913.000000
1691.600847,1.200701,66181.000000,4169.000000
1694.540543,1.216366,57404.000000,3488.000000
1698.453416,1.231163,47491.000000,2789.000000
1701.383028,1.256555,41703.000000,2310.000000
