Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 22:3:43,,
Header Version:,1,,
System Temp (C):,35.76,,
Detector Temp (C):,31.89,,
Humidity (%):,22.72,,
Lamp PD:,3750,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.689,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.927059,72949.000000,8629.000000
905.910380,0.929853,86574.000000,10175.000000
909.838291,0.933288,94937.000000,11070.000000
913.761880,0.939223,104155.000000,11980.000000
917.681147,0.942900,115457.000000,13168.000000
921.596093,0.954447,129508.000000,14383.000000
925.506717,0.960339,146775.000000,16081.000000
929.413019,0.971247,166260.000000,17764.000000
933.315000,0.973655,185226.000000,19681.000000
937.212659,0.977353,202728.000000,21358.000000
941.105996,0.979659,218970.000000,22947.000000
944.995012,0.983070,234123.000000,24343.000000
948.879706,0.991210,248597.000000,25368.000000
954.052576,1.006919,267996.000000,26376.000000
957.927186,1.019272,282408.000000,27015.000000
961.797475,1.028540,296402.000000,27755.000000
965.663442,1.039042,310342.000000,28366.000000
969.525087,1.045624,323067.000000,29085.000000
973.382411,1.052894,335535.000000,29706.000000
977.235413,1.059232,347127.000000,30287.000000
981.084093,1.065607,357110.000000,30704.000000
984.928452,1.071291,365762.000000,31039.000000
988.768490,1.072846,373247.000000,31561.000000
992.604205,1.077972,378804.000000,31655.000000
996.435599,1.080414,382649.000000,31797.000000
1000.262671,1.086315,385370.000000,31591.000000
1005.358712,1.087620,387154.000000,31642.000000
1009.175700,1.089647,387134.000000,31493.000000
1012.988367,1.088324,386471.000000,31535.000000
1016.796712,1.088764,385219.000000,31401.000000
1020.600736,1.088057,383747.000000,31332.000000
1024.400438,1.086529,382119.000000,31309.000000
1028.195818,1.084229,379870.000000,31290.000000
1031.986877,1.084657,377704.000000,31081.000000
1035.773614,1.085337,374438.000000,30764.000000
1039.556029,1.085043,370584.000000,30468.000000
1043.334123,1.087557,367475.000000,30038.000000
1047.107895,1.088037,364330.000000,29748.000000
1052.132869,1.086950,359009.000000,29387.000000
1055.896557,1.086213,356290.000000,29214.000000
1059.655924,1.087808,354149.000000,28932.000000
1063.410969,1.085662,351795.000000,28882.000000
1067.161692,1.083903,349463.000000,28807.000000
1070.908094,1.084490,347652.000000,28619.000000
1074.650174,1.085037,346034.000000,28450.000000
1078.387933,1.083809,344815.000000,28430.000000
1082.121369,1.082729,343958.000000,28430.000000
1085.850485,1.084037,343127.000000,28276.000000
1089.575278,1.080463,343191.000000,28515.000000
1093.295750,1.080561,344015.000000,28577.000000
1097.011900,1.080475,344296.000000,28606.000000
1101.960045,1.077996,345137.000000,28840.000000
1105.666111,1.080902,346153.000000,28732.000000
1109.367856,1.078887,346661.000000,28908.000000
1113.065279,1.080573,347841.000000,28894.000000
1116.758381,1.081299,348929.000000,28936.000000
1120.447161,1.087196,350595.000000,28682.000000
1124.131619,1.095113,352040.000000,28280.000000
1127.811756,1.107016,353928.000000,27663.000000
1131.487571,1.125598,355980.000000,26658.000000
1135.159064,1.145784,357920.000000,25586.000000
1138.826236,1.165644,360493.000000,24618.000000
1142.489086,1.180814,363800.000000,23991.000000
1147.366164,1.196041,368112.000000,23439.000000
1151.018930,1.205516,371448.000000,23141.000000
1154.667374,1.220399,375777.000000,22622.000000
1158.311497,1.230089,380111.000000,22378.000000
1161.951299,1.236422,384988.000000,22337.000000
1165.586779,1.244951,389793.000000,22176.000000
1169.217937,1.250599,395608.000000,22216.000000
1172.844773,1.252809,401940.000000,22457.000000
