Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:37:8,,
Header Version:,1,,
System Temp (C):,32.36,,
Detector Temp (C):,27.66,,
Humidity (%):,30.23,,
Lamp PD:,3753,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.698,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,1.062234,72949.000000,6321.000000
905.910380,1.071928,86574.000000,7336.000000
909.838291,1.066438,94937.000000,8147.000000
913.761880,1.065518,104155.000000,8957.000000
917.681147,1.068323,115457.000000,9865.000000
921.596093,1.072803,129508.000000,10952.000000
925.506717,1.079830,146775.000000,12213.000000
929.413019,1.079652,166260.000000,13840.000000
933.315000,1.083721,185226.000000,15275.000000
937.212659,1.090220,202728.000000,16470.000000
941.105996,1.090844,218970.000000,17764.000000
944.995012,1.094894,234123.000000,18817.000000
948.879706,1.100391,248597.000000,19729.000000
954.052576,1.112473,267996.000000,20685.000000
957.927186,1.122783,282408.000000,21286.000000
961.797475,1.130506,296402.000000,21947.000000
965.663442,1.138771,310342.000000,22546.000000
969.525087,1.143730,323067.000000,23204.000000
973.382411,1.149563,335535.000000,23778.000000
977.235413,1.153419,347127.000000,24382.000000
981.084093,1.159192,357110.000000,24752.000000
984.928452,1.164148,365762.000000,25064.000000
988.768490,1.163773,373247.000000,25599.000000
992.604205,1.168955,378804.000000,25672.000000
996.435599,1.170760,382649.000000,25825.000000
1000.262671,1.173569,385370.000000,25841.000000
1005.358712,1.174869,387154.000000,25883.000000
1009.175700,1.177354,387134.000000,25734.000000
1012.988367,1.175413,386471.000000,25805.000000
1016.796712,1.175724,385219.000000,25703.000000
1020.600736,1.174163,383747.000000,25697.000000
1024.400438,1.172249,382119.000000,25701.000000
1028.195818,1.171921,379870.000000,25569.000000
1031.986877,1.172335,377704.000000,25399.000000
1035.773614,1.173620,374438.000000,25105.000000
1039.556029,1.174102,370584.000000,24819.000000
1043.334123,1.172654,367475.000000,24693.000000
1047.107895,1.176014,364330.000000,24293.000000
1052.132869,1.176653,359009.000000,23903.000000
1055.896557,1.175701,356290.000000,23774.000000
1059.655924,1.177767,354149.000000,23519.000000
1063.410969,1.176758,351795.000000,23417.000000
1067.161692,1.178606,349463.000000,23163.000000
1070.908094,1.181784,347652.000000,22875.000000
1074.650174,1.184799,346034.000000,22611.000000
1078.387933,1.186738,344815.000000,22431.000000
1082.121369,1.188493,343958.000000,22285.000000
1085.850485,1.190473,343127.000000,22130.000000
1089.575278,1.193745,343191.000000,21968.000000
1093.295750,1.198081,344015.000000,21802.000000
1097.011900,1.198236,344296.000000,21812.000000
1101.960045,1.204061,345137.000000,21574.000000
1105.666111,1.207659,346153.000000,21459.000000
1109.367856,1.211444,346661.000000,21304.000000
1113.065279,1.214165,347841.000000,21243.000000
1116.758381,1.219856,348929.000000,21032.000000
1120.447161,1.228563,350595.000000,20713.000000
1124.131619,1.241069,352040.000000,20208.000000
1127.811756,1.255796,353928.000000,19639.000000
1131.487571,1.274527,355980.000000,18919.000000
1135.159064,1.288520,357920.000000,18419.000000
1138.826236,1.303753,360493.000000,17912.000000
1142.489086,1.313331,363800.000000,17682.000000
1147.366164,1.323066,368112.000000,17495.000000
1151.018930,1.334092,371448.000000,17211.000000
1154.667374,1.346633,375777.000000,16916.000000
1158.311497,1.355300,380111.000000,16773.000000
1161.951299,1.362679,384988.000000,16702.000000
1165.586779,1.366508,389793.000000,16762.000000
1169.217937,1.367942,395608.000000,16956.000000
1172.844773,1.368860,401940.000000,17191.000000
1176.467288,1.367217,408458.000000,17536.000000
1180.085481,1.362768,415500.000000,18022.000000
1183.699353,1.354980,423175.000000,18687.000000
1187.308903,1.348459,431167.000000,19328.000000
1190.914131,1.337222,439458.000000,20216.000000
1195.714379,1.329329,450819.000000,21119.000000
1199.309524,1.325112,460669.000000,21791.000000
1202.900347,1.323926,471029.000000,22342.000000
1206.486848,1.321476,480916.000000,22940.000000
1210.069027,1.318121,491861.000000,23644.000000
1213.646885,1.312699,503550.000000,24510.000000
1217.220421,1.308480,515976.000000,25360.000000
1220.789636,1.299620,526727.000000,26422.000000
1224.354529,1.294540,537290.000000,27269.000000
1227.915100,1.288803,549160.000000,28242.000000
1231.471350,1.280476,561812.000000,29452.000000
1235.023278,1.275480,574865.000000,30485.000000
1239.752460,1.272145,589855.000000,31521.000000
1243.294304,1.268521,602768.000000,32481.000000
1246.831827,1.266273,616327.000000,33384.000000
1250.365028,1.264955,628780.000000,34162.000000
1253.893907,1.263707,640245.000000,34885.000000
1257.418465,1.264926,652792.000000,35469.000000
1260.938701,1.264286,665945.000000,36237.000000
1264.454615,1.263858,678287.000000,36945.000000
1267.966208,1.264711,690806.000000,37553.000000
1271.473479,1.265308,704539.000000,38247.000000
1274.976429,1.266958,718686.000000,38867.000000
1278.475056,1.269056,732831.000000,39441.000000
1281.969363,1.270486,745575.000000,39995.000000
1286.621715,1.273576,764267.000000,40707.000000
1290.105938,1.276723,774383.000000,40948.000000
1293.585838,1.280326,783466.000000,41086.000000
1297.061417,1.283720,792419.000000,41232.000000
1300.532675,1.288453,802228.000000,41290.000000
1303.999611,1.293840,810668.000000,41210.000000
1307.462225,1.299206,816703.000000,41007.000000
1310.920518,1.307168,823212.000000,40583.000000
1314.374489,1.313901,830491.000000,40312.000000
1317.824138,1.321780,836234.000000,39861.000000
1321.269466,1.330000,840134.000000,39296.000000
1324.710472,1.340267,843025.000000,38510.000000
1328.147156,1.347914,846348.000000,37987.000000
1332.722679,1.362207,850466.000000,36936.000000
1336.149280,1.373337,851778.000000,36057.000000
1339.571559,1.385640,852802.000000,35092.000000
1342.989516,1.397489,853887.000000,34191.000000
1346.403152,1.407332,855068.000000,33471.000000
1349.812466,1.414912,853771.000000,32842.000000
1353.217459,1.422097,852103.000000,32240.000000
1356.618129,1.425691,851003.000000,31933.000000
1360.014478,1.429879,849616.000000,31575.000000
1363.406506,1.433268,847186.000000,31240.000000
1366.794212,1.438918,845120.000000,30761.000000
1370.177596,1.442367,844187.000000,30484.000000
1374.682052,1.446647,841418.000000,30086.000000
1378.055353,1.451094,837589.000000,29644.000000
1381.424332,1.452241,835101.000000,29478.000000
1384.788989,1.455895,832957.000000,29156.000000
1388.149324,1.457481,830471.000000,28963.000000
1391.505338,1.459059,826502.000000,28720.000000
1394.857030,1.460716,822727.000000,28480.000000
1398.204401,1.460244,819381.000000,28395.000000
1401.547450,1.459101,815212.000000,28325.000000
1404.886177,1.459043,810816.000000,28176.000000
1408.220583,1.457831,807007.000000,28122.000000
1411.550667,1.459553,803845.000000,27901.000000
1414.876429,1.459871,800571.000000,27767.000000
1419.304056,1.460029,795411.000000,27578.000000
1422.619735,1.457568,791863.000000,27611.000000
1425.931092,1.459060,789812.000000,27445.000000
1429.238127,1.456869,787498.000000,27503.000000
1432.540841,1.457018,784703.000000,27396.000000
1435.839233,1.455042,781539.000000,27410.000000
1439.133303,1.455057,779314.000000,27331.000000
1442.423052,1.454931,776294.000000,27233.000000
1445.708479,1.455916,773371.000000,27069.000000
1448.989585,1.454424,769695.000000,27033.000000
1452.266369,1.454552,767073.000000,26933.000000
1455.538831,1.453073,762960.000000,26880.000000
1459.895391,1.453489,757300.000000,26655.000000
1463.157769,1.453238,753568.000000,26539.000000
1466.415826,1.453441,749404.000000,26380.000000
1469.669561,1.453062,743755.000000,26204.000000
1472.918975,1.453674,738352.000000,25977.000000
1476.164067,1.451823,733201.000000,25906.000000
1479.404837,1.452397,727341.000000,25665.000000
1482.641285,1.453542,722073.000000,25412.000000
1485.873412,1.452599,716423.000000,25268.000000
1489.101218,1.450502,710602.000000,25184.000000
1492.324701,1.453092,704918.000000,24834.000000
1495.543863,1.453979,699704.000000,24600.000000
1498.758704,1.451108,694048.000000,24563.000000
1503.038435,1.454531,685926.000000,24085.000000
1506.243191,1.451579,680148.000000,24045.000000
1509.443626,1.453699,674608.000000,23733.000000
1512.639740,1.453822,668544.000000,23513.000000
1515.831531,1.453407,662594.000000,23326.000000
1519.019001,1.453950,656483.000000,23082.000000
1522.202150,1.456925,650629.000000,22720.000000
1525.380976,1.454774,645306.000000,22646.000000
1528.555481,1.453200,639735.000000,22532.000000
1531.725665,1.456259,634020.000000,22174.000000
1534.891527,1.455025,627659.000000,22014.000000
1538.053067,1.456499,622269.000000,21751.000000
1542.261731,1.456194,615200.000000,21519.000000
1545.413188,1.458543,609827.000000,21216.000000
1548.560322,1.458759,603717.000000,20993.000000
1551.703135,1.460095,598019.000000,20731.000000
1554.841627,1.459854,592181.000000,20540.000000
1557.975797,1.461245,586908.000000,20292.000000
1561.105645,1.462081,581634.000000,20071.000000
1564.231171,1.461785,575359.000000,19868.000000
1567.352376,1.461115,569413.000000,19693.000000
1570.469260,1.462229,564381.000000,19469.000000
1573.581821,1.461849,559167.000000,19306.000000
1576.690061,1.461039,552834.000000,19123.000000
1579.793979,1.461757,545902.000000,18852.000000
1583.925815,1.461936,538160.000000,18577.000000
1587.019649,1.461708,531798.000000,18367.000000
1590.109162,1.462682,525069.000000,18094.000000
1593.194353,1.457794,517012.000000,18018.000000
1596.275223,1.459515,509702.000000,17693.000000
1599.351771,1.456318,501846.000000,17549.000000
1602.423997,1.460825,494194.000000,17103.000000
1605.491902,1.457828,486692.000000,16960.000000
1608.555485,1.455882,478573.000000,16752.000000
1611.614747,1.455188,470336.000000,16490.000000
1614.669686,1.455886,461923.000000,16169.000000
1617.720304,1.452291,453440.000000,16004.000000
1621.781073,1.449969,442060.000000,15686.000000
1624.821607,1.450801,433505.000000,15353.000000
1627.857820,1.445668,424533.000000,15214.000000
1630.889711,1.451158,415861.000000,14716.000000
1633.917280,1.446966,406856.000000,14537.000000
1636.940528,1.446058,398326.000000,14262.000000
