Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:39:24,,
Header Version:,1,,
System Temp (C):,32.93,,
Detector Temp (C):,28.32,,
Humidity (%):,30.06,,
Lamp PD:,3753,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.689,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.926606,72949.000000,8638.000000
905.910380,0.929128,86574.000000,10192.000000
909.838291,0.927327,94937.000000,11223.000000
913.761880,0.936729,104155.000000,12049.000000
917.681147,0.943395,115457.000000,13153.000000
921.596093,0.952880,129508.000000,14435.000000
925.506717,0.961990,146775.000000,16020.000000
929.413019,0.974240,166260.000000,17642.000000
933.315000,0.978492,185226.000000,19463.000000
937.212659,0.983435,202728.000000,21061.000000
941.105996,0.993308,218970.000000,22237.000000
944.995012,0.998801,234123.000000,23477.000000
948.879706,1.011896,248597.000000,24188.000000
954.052576,1.036805,267996.000000,24622.000000
957.927186,1.052381,282408.000000,25032.000000
961.797475,1.065290,296402.000000,25503.000000
965.663442,1.078692,310342.000000,25891.000000
969.525087,1.083253,323067.000000,26671.000000
973.382411,1.092688,335535.000000,27105.000000
977.235413,1.096412,347127.000000,27802.000000
981.084093,1.101430,357110.000000,28273.000000
984.928452,1.105377,365762.000000,28696.000000
988.768490,1.106703,373247.000000,29194.000000
992.604205,1.111043,378804.000000,29334.000000
996.435599,1.111949,382649.000000,29570.000000
1000.262671,1.112055,385370.000000,29773.000000
1005.358712,1.110835,387154.000000,29995.000000
1009.175700,1.112902,387134.000000,29851.000000
1012.988367,1.107974,386471.000000,30140.000000
1016.796712,1.107531,385219.000000,30073.000000
1020.600736,1.103119,383747.000000,30264.000000
1024.400438,1.101301,382119.000000,30262.000000
1028.195818,1.099470,379870.000000,30211.000000
1031.986877,1.096943,377704.000000,30214.000000
1035.773614,1.096534,374438.000000,29981.000000
1039.556029,1.095940,370584.000000,29713.000000
1043.334123,1.094083,367475.000000,29590.000000
1047.107895,1.095057,364330.000000,29271.000000
1052.132869,1.092692,359009.000000,29001.000000
1055.896557,1.090500,356290.000000,28927.000000
1059.655924,1.092380,354149.000000,28629.000000
1063.410969,1.091597,351795.000000,28490.000000
1067.161692,1.088358,349463.000000,28513.000000
1070.908094,1.089926,347652.000000,28263.000000
1074.650174,1.091093,346034.000000,28056.000000
1078.387933,1.089251,344815.000000,28076.000000
1082.121369,1.088851,343958.000000,28032.000000
1085.850485,1.087274,343127.000000,28066.000000
1089.575278,1.089247,343191.000000,27944.000000
1093.295750,1.089994,344015.000000,27963.000000
1097.011900,1.089262,344296.000000,28033.000000
1101.960045,1.089842,345137.000000,28064.000000
1105.666111,1.091599,346153.000000,28033.000000
1109.367856,1.092592,346661.000000,28010.000000
1113.065279,1.094099,347841.000000,28008.000000
1116.758381,1.095967,348929.000000,27975.000000
1120.447161,1.101825,350595.000000,27732.000000
1124.131619,1.111241,352040.000000,27249.000000
1127.811756,1.123788,353928.000000,26615.000000
1131.487571,1.142203,355980.000000,25658.000000
1135.159064,1.161001,357920.000000,24705.000000
1138.826236,1.181800,360493.000000,23719.000000
1142.489086,1.198946,363800.000000,23010.000000
1147.366164,1.219529,368112.000000,22205.000000
1151.018930,1.231880,371448.000000,21778.000000
1154.667374,1.244334,375777.000000,21409.000000
1158.311497,1.252776,380111.000000,21239.000000
1161.951299,1.256009,384988.000000,21352.000000
1165.586779,1.260867,389793.000000,21378.000000
1169.217937,1.265554,395608.000000,21464.000000
1172.844773,1.262055,401940.000000,21984.000000
1176.467288,1.264638,408458.000000,22208.000000
1180.085481,1.263886,415500.000000,22630.000000
1183.699353,1.264207,423175.000000,23031.000000
1187.308903,1.259238,431167.000000,23736.000000
1190.914131,1.256490,439458.000000,24346.000000
1195.714379,1.253533,450819.000000,25146.000000
1199.309524,1.253507,460669.000000,25697.000000
1202.900347,1.253720,471029.000000,26262.000000
1206.486848,1.251591,480916.000000,26945.000000
1210.069027,1.255187,491861.000000,27331.000000
1213.646885,1.255226,503550.000000,27978.000000
1217.220421,1.250471,515976.000000,28984.000000
1220.789636,1.247282,526727.000000,29806.000000
1224.354529,1.241179,537290.000000,30834.000000
1227.915100,1.236426,549160.000000,31862.000000
1231.471350,1.231696,561812.000000,32953.000000
1235.023278,1.225857,574865.000000,34175.000000
1239.752460,1.222552,589855.000000,35334.000000
1243.294304,1.221610,602768.000000,36186.000000
1246.831827,1.218802,616327.000000,37240.000000
1250.365028,1.217209,628780.000000,38132.000000
1253.893907,1.216062,640245.000000,38930.000000
1257.418465,1.216685,652792.000000,39636.000000
1260.938701,1.217014,665945.000000,40404.000000
1264.454615,1.218630,678287.000000,41000.000000
1267.966208,1.219658,690806.000000,41658.000000
1271.473479,1.221739,704539.000000,42283.000000
1274.976429,1.221518,718686.000000,43154.000000
1278.475056,1.225428,732831.000000,43609.000000
1281.969363,1.228279,745575.000000,44077.000000
1286.621715,1.232889,764267.000000,44705.000000
1290.105938,1.236806,774383.000000,44890.000000
1293.585838,1.241813,783466.000000,44896.000000
1297.061417,1.248482,792419.000000,44717.000000
1300.532675,1.253786,802228.000000,44721.000000
1303.999611,1.260044,810668.000000,44545.000000
1307.462225,1.267813,816703.000000,44081.000000
1310.920518,1.275756,823212.000000,43627.000000
1314.374489,1.284103,830491.000000,43175.000000
1317.824138,1.294205,836234.000000,42474.000000
1321.269466,1.303588,840134.000000,41760.000000
1324.710472,1.313576,843025.000000,40951.000000
1328.147156,1.321211,846348.000000,40396.000000
1332.722679,1.333357,850466.000000,39473.000000
1336.149280,1.341819,851778.000000,38771.000000
1339.571559,1.349627,852802.000000,38126.000000
1342.989516,1.355255,853887.000000,37683.000000
