Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:47:32,,
Header Version:,1,,
System Temp (C):,34.42,,
Detector Temp (C):,30.1,,
Humidity (%):,27.09,,
Lamp PD:,3752,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.673,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.915880,72949.000000,8854.000000
905.910380,0.921525,86574.000000,10372.000000
909.838291,0.926746,94937.000000,11238.000000
913.761880,0.929509,104155.000000,12251.000000
917.681147,0.938471,115457.000000,13303.000000
921.596093,0.950689,129508.000000,14508.000000
925.506717,0.963674,146775.000000,15958.000000
929.413019,0.973625,166260.000000,17667.000000
933.315000,0.981313,185226.000000,19337.000000
937.212659,0.990252,202728.000000,20733.000000
941.105996,0.995953,218970.000000,22102.000000
944.995012,1.007546,234123.000000,23009.000000
948.879706,1.020564,248597.000000,23710.000000
954.052576,1.046165,267996.000000,24097.000000
957.927186,1.065789,282408.000000,24271.000000
961.797475,1.080011,296402.000000,24653.000000
965.663442,1.091493,310342.000000,25139.000000
969.525087,1.096765,323067.000000,25854.000000
973.382411,1.105205,335535.000000,26335.000000
977.235413,1.110672,347127.000000,26904.000000
981.084093,1.113248,357110.000000,27514.000000
984.928452,1.115544,365762.000000,28032.000000
988.768490,1.118800,373247.000000,28392.000000
992.604205,1.119218,378804.000000,28787.000000
996.435599,1.117462,382649.000000,29197.000000
1000.262671,1.117486,385370.000000,29403.000000
1005.358712,1.115171,387154.000000,29697.000000
1009.175700,1.112481,387134.000000,29880.000000
1012.988367,1.109403,386471.000000,30041.000000
1016.796712,1.106032,385219.000000,30177.000000
1020.600736,1.103664,383747.000000,30226.000000
1024.400438,1.100756,382119.000000,30300.000000
1028.195818,1.095278,379870.000000,30504.000000
1031.986877,1.094964,377704.000000,30352.000000
1035.773614,1.092482,374438.000000,30262.000000
1039.556029,1.090493,370584.000000,30088.000000
1043.334123,1.090793,367475.000000,29815.000000
1047.107895,1.088256,364330.000000,29733.000000
1052.132869,1.085519,359009.000000,29484.000000
1055.896557,1.084270,356290.000000,29345.000000
1059.655924,1.084503,354149.000000,29153.000000
1063.410969,1.083682,351795.000000,29014.000000
1067.161692,1.082023,349463.000000,28932.000000
1070.908094,1.084248,347652.000000,28635.000000
1074.650174,1.083954,346034.000000,28521.000000
1078.387933,1.085294,344815.000000,28333.000000
1082.121369,1.086641,343958.000000,28175.000000
1085.850485,1.086810,343127.000000,28096.000000
1089.575278,1.088192,343191.000000,28012.000000
1093.295750,1.090118,344015.000000,27955.000000
1097.011900,1.091125,344296.000000,27913.000000
1101.960045,1.091952,345137.000000,27928.000000
1105.666111,1.095614,346153.000000,27775.000000
1109.367856,1.097190,346661.000000,27715.000000
1113.065279,1.098133,347841.000000,27749.000000
1116.758381,1.101576,348929.000000,27616.000000
1120.447161,1.106817,350595.000000,27415.000000
1124.131619,1.118603,352040.000000,26791.000000
1127.811756,1.133374,353928.000000,26034.000000
1131.487571,1.150008,355980.000000,25201.000000
1135.159064,1.171247,357920.000000,24129.000000
1138.826236,1.193172,360493.000000,23106.000000
1142.489086,1.210401,363800.000000,22411.000000
1147.366164,1.233966,368112.000000,21479.000000
1151.018930,1.247100,371448.000000,21028.000000
1154.667374,1.259464,375777.000000,20676.000000
1158.311497,1.267077,380111.000000,20551.000000
1161.951299,1.269939,384988.000000,20678.000000
1165.586779,1.271853,389793.000000,20844.000000
1169.217937,1.273106,395608.000000,21094.000000
1172.844773,1.270573,401940.000000,21557.000000
1176.467288,1.268744,408458.000000,21999.000000
1180.085481,1.267645,415500.000000,22435.000000
1183.699353,1.261107,423175.000000,23196.000000
1187.308903,1.259934,431167.000000,23698.000000
1190.914131,1.256811,439458.000000,24328.000000
1195.714379,1.256897,450819.000000,24952.000000
1199.309524,1.256662,460669.000000,25511.000000
1202.900347,1.259212,471029.000000,25932.000000
1206.486848,1.259939,480916.000000,26432.000000
1210.069027,1.260865,491861.000000,26976.000000
1213.646885,1.260285,503550.000000,27654.000000
1217.220421,1.259326,515976.000000,28399.000000
1220.789636,1.253948,526727.000000,29352.000000
1224.354529,1.249814,537290.000000,30227.000000
1227.915100,1.244918,549160.000000,31245.000000
1231.471350,1.240832,561812.000000,32267.000000
1235.023278,1.237317,574865.000000,33285.000000
1239.752460,1.233670,589855.000000,34441.000000
1243.294304,1.230963,602768.000000,35415.000000
1246.831827,1.230371,616327.000000,36261.000000
1250.365028,1.229055,628780.000000,37106.000000
1253.893907,1.228510,640245.000000,37830.000000
1257.418465,1.229901,652792.000000,38448.000000
1260.938701,1.230873,665945.000000,39135.000000
1264.454615,1.231880,678287.000000,39768.000000
1267.966208,1.234213,690806.000000,40285.000000
1271.473479,1.235418,704539.000000,40972.000000
1274.976429,1.237175,718686.000000,41626.000000
1278.475056,1.241465,732831.000000,42028.000000
1281.969363,1.243816,745575.000000,42528.000000
1286.621715,1.249888,764267.000000,42989.000000
1290.105938,1.254973,774383.000000,43051.000000
1293.585838,1.262069,783466.000000,42850.000000
1297.061417,1.267937,792419.000000,42758.000000
1300.532675,1.274318,802228.000000,42656.000000
1303.999611,1.280587,810668.000000,42487.000000
1307.462225,1.290203,816703.000000,41866.000000
1310.920518,1.297505,823212.000000,41496.000000
1314.374489,1.305810,830491.000000,41070.000000
1317.824138,1.315066,836234.000000,40482.000000
1321.269466,1.324215,840134.000000,39823.000000
1324.710472,1.331437,843025.000000,39301.000000
1328.147156,1.340793,846348.000000,38615.000000
1332.722679,1.350251,850466.000000,37967.000000
1336.149280,1.357838,851778.000000,37367.000000
1339.571559,1.362435,852802.000000,37018.000000
1342.989516,1.368905,853887.000000,36517.000000
1346.403152,1.373412,855068.000000,36190.000000
1349.812466,1.375232,853771.000000,35984.000000
1353.217459,1.378884,852103.000000,35613.000000
