Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 21:53:38,,
Header Version:,1,,
System Temp (C):,35.31,,
Detector Temp (C):,31.14,,
Humidity (%):,24.77,,
Lamp PD:,3750,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.671,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.908246,72949.000000,9011.000000
905.910380,0.912697,86574.000000,10585.000000
909.838291,0.912865,94937.000000,11603.000000
913.761880,0.921640,104155.000000,12475.000000
917.681147,0.932763,115457.000000,13479.000000
921.596093,0.944064,129508.000000,14731.000000
925.506717,0.957030,146775.000000,16204.000000
929.413019,0.965684,166260.000000,17993.000000
933.315000,0.975202,185226.000000,19611.000000
937.212659,0.983435,202728.000000,21061.000000
941.105996,0.993211,218970.000000,22242.000000
944.995012,1.002163,234123.000000,23296.000000
948.879706,1.018518,248597.000000,23822.000000
954.052576,1.044528,267996.000000,24188.000000
957.927186,1.063096,282408.000000,24422.000000
961.797475,1.078113,296402.000000,24761.000000
965.663442,1.089132,310342.000000,25276.000000
969.525087,1.094854,323067.000000,25968.000000
973.382411,1.101657,335535.000000,26551.000000
977.235413,1.107695,347127.000000,27089.000000
981.084093,1.110714,357110.000000,27675.000000
984.928452,1.112688,365762.000000,28217.000000
988.768490,1.111655,373247.000000,28863.000000
992.604205,1.111221,378804.000000,29322.000000
996.435599,1.112993,382649.000000,29499.000000
1000.262671,1.112522,385370.000000,29741.000000
1005.358712,1.109202,387154.000000,30108.000000
1009.175700,1.105474,387134.000000,30366.000000
1012.988367,1.102319,386471.000000,30535.000000
1016.796712,1.099206,385219.000000,30655.000000
1020.600736,1.096186,383747.000000,30751.000000
1024.400438,1.091664,382119.000000,30941.000000
1028.195818,1.089339,379870.000000,30924.000000
1031.986877,1.086800,377704.000000,30928.000000
1035.773614,1.085168,374438.000000,30776.000000
1039.556029,1.083336,370584.000000,30588.000000
1043.334123,1.083656,367475.000000,30309.000000
1047.107895,1.083434,364330.000000,30065.000000
1052.132869,1.077781,359009.000000,30014.000000
1055.896557,1.079428,356290.000000,29674.000000
1059.655924,1.078026,354149.000000,29591.000000
1063.410969,1.077691,351795.000000,29417.000000
1067.161692,1.079135,349463.000000,29125.000000
1070.908094,1.077909,347652.000000,29056.000000
1074.650174,1.078777,346034.000000,28863.000000
1078.387933,1.080613,344815.000000,28640.000000
1082.121369,1.080291,343958.000000,28590.000000
