Method:,Hadamard 1,,
Host Date-Time:,19/11/19 @ 22:4:4,,
Header Version:,1,,
System Temp (C):,35.93,,
Detector Temp (C):,31.86,,
Humidity (%):,22.53,,
Lamp PD:,3749,,
Shift Vector Coefficients:,-9.58825,0.0592209,-8.02911e-05,,
Pixel to Wavelength Coefficients:,1788.66,-0.931881,-0.000240091,,
Serial Number:,6460050,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.704,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.666444,0.921210,72949.000000,8746.000000
905.910380,0.927809,86574.000000,10223.000000
909.838291,0.931409,94937.000000,11118.000000
913.761880,0.940421,104155.000000,11947.000000
917.681147,0.943230,115457.000000,13158.000000
921.596093,0.954115,129508.000000,14394.000000
925.506717,0.960231,146775.000000,16085.000000
929.413019,0.969563,166260.000000,17833.000000
933.315000,0.973699,185226.000000,19679.000000
937.212659,0.974778,202728.000000,21485.000000
941.105996,0.977808,218970.000000,23045.000000
944.995012,0.982624,234123.000000,24368.000000
948.879706,0.990457,248597.000000,25412.000000
954.052576,1.006311,267996.000000,26413.000000
957.927186,1.016420,282408.000000,27193.000000
961.797475,1.025686,296402.000000,27938.000000
965.663442,1.037697,310342.000000,28454.000000
969.525087,1.044863,323067.000000,29136.000000
973.382411,1.051478,335535.000000,29803.000000
977.235413,1.056830,347127.000000,30455.000000
981.084093,1.064237,357110.000000,30801.000000
984.928452,1.068780,365762.000000,31219.000000
988.768490,1.072680,373247.000000,31573.000000
992.604205,1.078879,378804.000000,31589.000000
996.435599,1.080619,382649.000000,31782.000000
1000.262671,1.083273,385370.000000,31813.000000
1005.358712,1.087579,387154.000000,31645.000000
1009.175700,1.088229,387134.000000,31596.000000
1012.988367,1.088944,386471.000000,31490.000000
1016.796712,1.088032,385219.000000,31454.000000
1020.600736,1.087268,383747.000000,31389.000000
1024.400438,1.085463,382119.000000,31386.000000
1028.195818,1.083688,379870.000000,31329.000000
1031.986877,1.084042,377704.000000,31125.000000
1035.773614,1.083660,374438.000000,30883.000000
1039.556029,1.084075,370584.000000,30536.000000
1043.334123,1.086806,367475.000000,30090.000000
1047.107895,1.086725,364330.000000,29838.000000
1052.132869,1.085386,359009.000000,29493.000000
1055.896557,1.083028,356290.000000,29429.000000
1059.655924,1.085412,354149.000000,29092.000000
1063.410969,1.083862,351795.000000,29002.000000
1067.161692,1.083255,349463.000000,28850.000000
1070.908094,1.083187,347652.000000,28705.000000
1074.650174,1.084960,346034.000000,28455.000000
1078.387933,1.083092,344815.000000,28477.000000
1082.121369,1.081813,343958.000000,28490.000000
1085.850485,1.080275,343127.000000,28522.000000
1089.575278,1.080493,343191.000000,28513.000000
1093.295750,1.080439,344015.000000,28585.000000
1097.011900,1.079504,344296.000000,28670.000000
1101.960045,1.078267,345137.000000,28822.000000
1105.666111,1.079484,346153.000000,28826.000000
1109.367856,1.079293,346661.000000,28881.000000
1113.065279,1.079252,347841.000000,28982.000000
1116.758381,1.080249,348929.000000,29006.000000
1120.447161,1.085715,350595.000000,28780.000000
1124.131619,1.093825,352040.000000,28364.000000
1127.811756,1.107628,353928.000000,27624.000000
1131.487571,1.123437,355980.000000,26791.000000
1135.159064,1.145716,357920.000000,25590.000000
1138.826236,1.163638,360493.000000,24732.000000
1142.489086,1.178972,363800.000000,24093.000000
1147.366164,1.195522,368112.000000,23467.000000
1151.018930,1.206079,371448.000000,23111.000000
1154.667374,1.217911,375777.000000,22752.000000
1158.311497,1.228617,380111.000000,22454.000000
1161.951299,1.236481,384988.000000,22334.000000
1165.586779,1.245382,389793.000000,22154.000000
1169.217937,1.251049,395608.000000,22193.000000
1172.844773,1.253971,401940.000000,22397.000000
1176.467288,1.257539,408458.000000,22574.000000
1180.085481,1.261227,415500.000000,22769.000000
1183.699353,1.259966,423175.000000,23257.000000
1187.308903,1.257540,431167.000000,23829.000000
1190.914131,1.252742,439458.000000,24557.000000
1195.714379,1.246645,450819.000000,25548.000000
1199.309524,1.245569,460669.000000,26171.000000
1202.900347,1.243683,471029.000000,26876.000000
1206.486848,1.243653,480916.000000,27442.000000
1210.069027,1.243879,491861.000000,28052.000000
1213.646885,1.243103,503550.000000,28770.000000
1217.220421,1.236726,515976.000000,29916.000000
1220.789636,1.230322,526727.000000,30993.000000
1224.354529,1.222758,537290.000000,32170.000000
1227.915100,1.214888,549160.000000,33482.000000
1231.471350,1.206368,561812.000000,34932.000000
1235.023278,1.200270,574865.000000,36249.000000
1239.752460,1.193012,589855.000000,37821.000000
1243.294304,1.189654,602768.000000,38949.000000
1246.831827,1.185520,616327.000000,40206.000000
1250.365028,1.182549,628780.000000,41300.000000
1253.893907,1.181796,640245.000000,42126.000000
1257.418465,1.180318,652792.000000,43098.000000
1260.938701,1.180707,665945.000000,43927.000000
1264.454615,1.179390,678287.000000,44877.000000
1267.966208,1.180801,690806.000000,45557.000000
1271.473479,1.180527,704539.000000,46492.000000
1274.976429,1.179690,718686.000000,47517.000000
1278.475056,1.180589,732831.000000,48352.000000
1281.969363,1.182606,745575.000000,48965.000000
1286.621715,1.186583,764267.000000,49735.000000
1290.105938,1.188538,774383.000000,50167.000000
1293.585838,1.192659,783466.000000,50276.000000
1297.061417,1.196068,792419.000000,50453.000000
1300.532675,1.201419,802228.000000,50452.000000
1303.999611,1.206904,810668.000000,50343.000000
1307.462225,1.213424,816703.000000,49962.000000
1310.920518,1.221627,823212.000000,49418.000000
1314.374489,1.229582,830491.000000,48950.000000
1317.824138,1.239894,836234.000000,48132.000000
1321.269466,1.250554,840134.000000,47184.000000
1324.710472,1.261434,843025.000000,46175.000000
1328.147156,1.271393,846348.000000,45306.000000
1332.722679,1.288639,850466.000000,43754.000000
1336.149280,1.299695,851778.000000,42720.000000
1339.571559,1.311431,852802.000000,41631.000000
1342.989516,1.322116,853887.000000,40671.000000
1346.403152,1.333177,855068.000000,39703.000000
1349.812466,1.340644,853771.000000,38967.000000
1353.217459,1.346987,852103.000000,38327.000000
1356.618129,1.351384,851003.000000,37892.000000
1360.014478,1.356293,849616.000000,37405.000000
1363.406506,1.359402,847186.000000,37032.000000
1366.794212,1.363081,845120.000000,36630.000000
1370.177596,1.367994,844187.000000,36178.000000
1374.682052,1.372879,841418.000000,35656.000000
1378.055353,1.374863,837589.000000,35332.000000
1381.424332,1.377187,835101.000000,35039.000000
1384.788989,1.380769,832957.000000,34662.000000
1388.149324,1.381367,830471.000000,34511.000000
1391.505338,1.383701,826502.000000,34162.000000
1394.857030,1.381535,822727.000000,34176.000000
1398.204401,1.382697,819381.000000,33946.000000
1401.547450,1.381956,815212.000000,33831.000000
1404.886177,1.381911,810816.000000,33652.000000
1408.220583,1.382975,807007.000000,33412.000000
1411.550667,1.381985,803845.000000,33357.000000
1414.876429,1.381543,800571.000000,33255.000000
1419.304056,1.381460,795411.000000,33047.000000
1422.619735,1.382909,791863.000000,32790.000000
1425.931092,1.383162,789812.000000,32686.000000
1429.238127,1.382499,787498.000000,32640.000000
1432.540841,1.382381,784703.000000,32533.000000
1435.839233,1.380854,781539.000000,32516.000000
